,Energy_kWh,Carbon_kgCO2,Cost_GBP,SLA_viol_%,CarbonReduction_%
FIFO/Round-Robin (baseline),5.253,0.606,0.896,0.0,0.0
GWO,5.253,0.533,0.875,0.0,12.0
PSO,5.253,0.54,0.839,13.333,10.9
DE,5.253,0.539,0.839,10.0,11.1
WOA,5.253,0.565,0.878,0.0,6.8
HHO,5.253,0.542,0.796,0.0,10.6
GA,5.253,0.609,0.935,48.333,-0.5
