wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,WOA,carbon,13,0.3333333333333333,E23,5.26,31.19,35,0.345786,87.7623,26.6821,0.0,0,4.5891,0.7418,54.402,0.0,True,26.0,4840,1.3284,1.05
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,WOA,carbon,14,0.3333333333333333,E23,5.26,31.19,35,0.342076,87.8936,27.4688,0.0,0,4.5391,0.7343,56.267,0.0,True,26.0,4840,1.2888,1.03
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,WOA,carbon,15,0.3333333333333333,E23,5.26,31.19,35,0.342235,87.888,27.435,0.0,0,4.5391,0.7343,56.263,0.0,True,26.0,4840,1.3892,0.98
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,auto,FIFO,-,0,0.3333333333333333,E23,5.26,31.19,35,2.870276,0.0,-455.9041,0.0,0,32.0391,5.2417,4.199,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,auto,Consolidation,-,0,0.3333333333333333,E23,5.26,31.19,35,0.516326,82.0113,0.0,0.0,0,5.6891,0.9442,34.521,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,auto,Greedy(EDF+greenest),-,0,0.3333333333333333,E23,5.26,31.19,35,0.490664,82.9053,4.9701,0.0,0,5.9891,0.9818,24.632,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,auto,VCC(Google),-,0,0.3333333333333333,E23,5.26,31.19,35,0.516326,82.0113,0.0,0.0,0,5.6891,0.9442,34.521,0.0,True,24.5,0,0.0012,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,auto,Threshold(WaitAwhile),-,0,0.3333333333333333,E23,5.26,31.19,35,0.531925,81.4678,-3.0213,0.0,0,5.8891,0.9668,31.157,0.0,True,25.5,0,0.0063,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,FIFO,-,0,0.3333333333333333,E23,5.26,31.19,35,2.825576,0.0,-499.1141,0.0,0,31.5391,5.1517,5.275,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,Consolidation,-,0,0.3333333333333333,E23,5.26,31.19,35,0.471626,83.3087,0.0,0.0,0,5.1891,0.8542,43.373,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E23,5.26,31.19,35,0.353564,87.487,25.033,0.0,0,4.6891,0.7568,49.264,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,VCC(Google),-,0,0.3333333333333333,E23,5.26,31.19,35,0.471626,83.3087,0.0,0.0,0,5.1891,0.8542,43.373,0.0,True,24.5,0,0.0014,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,Threshold(WaitAwhile),-,0,0.3333333333333333,E23,5.26,31.19,35,0.438825,84.4695,6.9547,0.0,0,5.0391,0.8093,46.736,0.0,True,25.5,0,0.0067,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,WOA,random,1,0.3333333333333333,E23,5.26,31.19,35,0.451271,84.0291,4.3159,0.0,0,5.0391,0.8477,56.288,0.0,True,24.5,4840,1.3217,1.09
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,WOA,random,2,0.3333333333333333,E23,5.26,31.19,35,0.437537,84.5151,7.2278,0.0,0,5.1391,0.8539,44.11,0.0,True,28.5,4840,1.3023,1.06
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,WOA,random,3,0.3333333333333333,E23,5.26,31.19,35,0.451881,84.0075,4.1866,0.0,0,5.0391,0.8235,47.209,0.0,True,24.5,4840,1.3926,1.01
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,Greedy(EDF+greenest),-,0,0.3333333333333333,E23,5.26,31.19,35,0.938614,69.435,-2.3876,0.0,0,10.6891,1.8068,13.545,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,VCC(Google),-,0,0.3333333333333333,E23,5.26,31.19,35,0.916726,70.1477,0.0,0.0,0,9.9891,1.7092,17.673,0.0,True,24.5,0,0.0011,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,Threshold(WaitAwhile),-,0,0.3333333333333333,E23,5.26,31.19,35,0.943175,69.2864,-2.8852,0.0,0,10.2891,1.7468,16.98,0.0,True,25.5,0,0.0065,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,WOA,random,1,0.3333333333333333,E23,5.26,31.19,35,0.882211,71.2717,3.765,0.0,0,9.6891,1.6621,21.217,0.0,True,24.5,4840,1.3629,1.05
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,WOA,random,2,0.3333333333333333,E23,5.26,31.19,35,0.88257,71.26,3.7258,0.0,0,9.6891,1.6635,21.217,0.0,True,24.5,4840,1.3464,1.08
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,WOA,random,3,0.3333333333333333,E23,5.26,31.19,35,0.884179,71.2076,3.5503,0.0,0,9.6891,1.6695,21.217,0.0,True,24.5,4840,1.4499,1.02
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,WOA,random,4,0.3333333333333333,E23,5.26,31.19,35,0.882412,71.2651,3.7431,0.0,0,9.6891,1.6725,21.217,0.0,True,24.5,4840,1.3878,1.1
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,WOA,random,5,0.3333333333333333,E23,5.26,31.19,35,0.884064,71.2113,3.5629,0.0,0,9.6891,1.6742,21.217,0.0,True,24.5,4840,1.4072,0.99
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.25,WOA,carbon,15,0.3333333333333333,E23,5.26,31.19,35,0.877527,71.4242,4.276,0.0,0,9.6891,1.6602,21.217,0.0,True,24.5,4840,1.4171,1.02
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.5,FIFO,-,0,0.3333333333333333,E23,5.26,31.19,35,3.317826,0.0,-146.5455,0.0,0,36.6391,6.0442,3.071,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.5,Consolidation,-,0,0.3333333333333333,E23,5.26,31.19,35,1.345726,59.4395,0.0,0.0,0,14.6391,2.5267,12.372,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.5,Greedy(EDF+greenest),-,0,0.3333333333333333,E23,5.26,31.19,35,1.394714,57.963,-3.6403,0.0,0,15.4891,2.6468,10.889,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.5,VCC(Google),-,0,0.3333333333333333,E23,5.26,31.19,35,1.345726,59.4395,0.0,0.0,0,14.6391,2.5267,12.372,0.0,True,24.5,0,0.0012,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.5,Threshold(WaitAwhile),-,0,0.3333333333333333,E23,5.26,31.19,35,1.393875,57.9883,-3.578,0.0,0,15.1391,2.5943,11.887,0.0,True,25.5,0,0.0062,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.5,WOA,random,1,0.3333333333333333,E23,5.26,31.19,35,1.334411,59.7806,0.8408,0.0,0,14.5891,2.5171,12.73,0.0,True,24.5,4840,1.4007,1.02
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0.5,WOA,random,2,0.3333333333333333,E23,5.26,31.19,35,1.334968,59.7638,0.7994,0.0,0,14.5891,2.5191,12.73,0.0,True,24.5,4840,1.4246,1.03
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,auto,WOA,carbon,10,0.3333333333333333,E23,5.26,31.19,35,0.46129,83.9287,10.659,0.0,0,5.0891,0.8595,54.172,0.0,True,24.5,4840,1.3757,1.04
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,auto,WOA,carbon,11,0.3333333333333333,E23,5.26,31.19,35,0.45836,84.0308,11.2266,0.0,0,5.1391,0.8678,54.258,0.0,True,26.0,4840,1.3418,1.03
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,auto,WOA,carbon,12,0.3333333333333333,E23,5.26,31.19,35,0.472916,83.5237,8.4075,0.0,0,5.2391,0.8803,51.358,0.0,True,26.0,4840,1.4512,1.01
