N,M,pen,target_mae,realised_mae,seed,carbon_red_%,oracle_red_%,gap_pp,sla_%
3000,20,0.0,5,5.355,7,89.3463,89.3997,0.0534,0.0
3000,20,0.0,5,5.345,8,89.2506,89.3997,0.1491,0.0
3000,20,0.0,5,5.217,9,89.394,89.3997,0.0057,0.0
3000,20,0.0,5,4.894,10,89.1647,89.3997,0.235,0.0
3000,20,0.0,10,9.607,1,88.9731,89.3997,0.4265,0.0
3000,20,0.0,10,8.789,2,88.9106,89.3997,0.4891,0.0
3000,20,0.0,10,9.537,3,88.6645,89.3997,0.7352,0.0
3000,20,0.0,10,9.954,4,89.1987,89.3997,0.201,0.0
3000,20,0.0,10,9.68,5,89.1904,89.3997,0.2093,0.0
3000,20,0.0,10,9.936,6,89.0578,89.3997,0.3419,0.0
3000,20,0.0,10,10.71,7,89.1133,89.3997,0.2864,0.0
3000,20,0.0,10,10.689,8,89.1752,89.3997,0.2245,0.0
3000,20,0.0,10,10.434,9,89.3782,89.3997,0.0215,0.0
3000,20,0.0,10,9.789,10,89.051,89.3997,0.3487,0.0
3000,20,0.0,20,19.214,1,88.5177,89.3997,0.882,0.0
3000,20,0.0,20,17.517,2,88.3323,89.3997,1.0673,0.0
3000,20,0.0,20,19.054,3,88.5702,89.3997,0.8295,0.0
3000,20,0.0,20,19.908,4,89.105,89.3997,0.2947,0.0
3000,20,0.0,20,19.359,5,89.0474,89.3997,0.3523,0.0
3000,20,0.0,20,19.841,6,88.8899,89.3997,0.5098,0.0
3000,20,0.0,20,21.42,7,89.1332,89.3997,0.2664,0.0
3000,20,0.0,20,21.379,8,89.1316,89.3997,0.2681,0.0
3000,20,0.0,20,20.868,9,89.0544,89.3997,0.3453,0.0
3000,20,0.0,20,19.544,10,88.674,89.3997,0.7257,0.0
3000,20,0.0,40,37.894,1,88.2564,89.3997,1.1433,0.0
3000,20,0.0,40,34.197,2,87.5804,89.3997,1.8193,0.0
3000,20,0.0,40,36.975,3,87.5253,89.3997,1.8744,0.0
3000,20,0.0,40,39.223,4,88.3382,89.3997,1.0615,0.0
3000,20,0.0,40,37.54,5,88.0209,89.3997,1.3788,0.0
3000,20,0.0,40,39.309,6,88.178,89.3997,1.2217,0.0
3000,20,0.0,40,42.0,7,88.6047,89.3997,0.795,0.0
3000,20,0.0,40,41.693,8,88.751,89.3997,0.6487,0.0
3000,20,0.0,40,41.204,9,88.9482,89.3997,0.4515,0.0
3000,20,0.0,40,38.463,10,87.893,89.3997,1.5067,0.0
3000,20,0.0,80,70.617,1,87.9588,89.3997,1.4409,0.0
3000,20,0.0,80,63.45,2,87.6179,89.3997,1.7818,0.0
3000,20,0.0,80,68.921,3,87.102,89.3997,2.2977,0.0
3000,20,0.0,80,72.864,4,87.8874,89.3997,1.5123,0.0
3000,20,0.0,80,67.946,5,87.6403,89.3997,1.7594,0.0
3000,20,0.0,80,72.852,6,88.0383,89.3997,1.3614,0.0
3000,20,0.0,80,77.57,7,88.1173,89.3997,1.2824,0.0
3000,20,0.0,80,74.764,8,87.7728,89.3997,1.6269,0.0
3000,20,0.0,80,76.599,9,88.7183,89.3997,0.6814,0.0
3000,20,0.0,80,69.972,10,87.6491,89.3997,1.7506,0.0
3000,10,10.0,0,0.0,1,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,2,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,3,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,4,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,5,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,6,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,7,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,8,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,9,89.3997,89.3997,0.0,0.0
3000,10,10.0,0,0.0,10,89.3997,89.3997,0.0,0.0
3000,10,10.0,5,4.803,1,89.3667,89.3997,0.033,0.0
3000,10,10.0,5,4.395,2,89.0985,89.3997,0.3012,0.0
3000,10,10.0,5,4.768,3,89.3056,89.3997,0.0941,0.0
3000,10,10.0,5,4.977,4,89.2129,89.3997,0.1868,0.0
3000,10,10.0,5,4.84,5,89.2231,89.3997,0.1766,0.0
3000,10,10.0,5,4.968,6,89.1548,89.3997,0.2449,0.0
3000,10,10.0,5,5.355,7,89.3463,89.3997,0.0534,0.0
3000,10,10.0,5,5.345,8,89.2506,89.3997,0.1491,0.0
3000,10,10.0,5,5.217,9,89.394,89.3997,0.0057,0.0
3000,10,10.0,5,4.894,10,89.1647,89.3997,0.235,0.0
3000,10,10.0,10,9.607,1,88.9731,89.3997,0.4265,0.0
3000,10,10.0,10,8.789,2,88.9106,89.3997,0.4891,0.0
3000,10,10.0,10,9.537,3,88.6645,89.3997,0.7352,0.0
3000,10,10.0,10,9.954,4,89.1987,89.3997,0.201,0.0
3000,10,10.0,10,9.68,5,89.1904,89.3997,0.2093,0.0
3000,10,10.0,10,9.936,6,89.0578,89.3997,0.3419,0.0
3000,10,10.0,10,10.71,7,89.1133,89.3997,0.2864,0.0
3000,10,10.0,10,10.689,8,89.1752,89.3997,0.2245,0.0
3000,10,10.0,10,10.434,9,89.3782,89.3997,0.0215,0.0
3000,10,10.0,10,9.789,10,89.051,89.3997,0.3487,0.0
3000,10,10.0,20,19.214,1,88.5177,89.3997,0.882,0.0
3000,10,10.0,20,17.517,2,88.3323,89.3997,1.0673,0.0
3000,10,10.0,20,19.054,3,88.5702,89.3997,0.8295,0.0
3000,10,10.0,20,19.908,4,89.105,89.3997,0.2947,0.0
3000,10,10.0,20,19.359,5,89.0474,89.3997,0.3523,0.0
3000,10,10.0,20,19.841,6,88.8899,89.3997,0.5098,0.0
3000,10,10.0,20,21.42,7,89.1332,89.3997,0.2664,0.0
3000,10,10.0,20,21.379,8,89.1316,89.3997,0.2681,0.0
3000,10,10.0,20,20.868,9,89.0544,89.3997,0.3453,0.0
3000,10,10.0,20,19.544,10,88.674,89.3997,0.7257,0.0
3000,10,10.0,40,37.894,1,88.2564,89.3997,1.1433,0.0
3000,10,10.0,40,34.197,2,87.5804,89.3997,1.8193,0.0
3000,10,10.0,40,36.975,3,87.5253,89.3997,1.8744,0.0
3000,10,10.0,40,39.223,4,88.3382,89.3997,1.0615,0.0
3000,10,10.0,40,37.54,5,88.0209,89.3997,1.3788,0.0
3000,10,10.0,40,39.309,6,88.178,89.3997,1.2217,0.0
3000,10,10.0,40,42.0,7,88.6047,89.3997,0.795,0.0
3000,10,10.0,40,41.693,8,88.751,89.3997,0.6487,0.0
3000,10,10.0,40,41.204,9,88.9482,89.3997,0.4515,0.0
3000,10,10.0,40,38.463,10,87.893,89.3997,1.5067,0.0
3000,10,10.0,80,70.617,1,87.9588,89.3997,1.4409,0.0
3000,10,10.0,80,63.45,2,87.6179,89.3997,1.7818,0.0
3000,10,10.0,80,68.921,3,87.102,89.3997,2.2977,0.0
3000,10,10.0,80,72.864,4,87.8874,89.3997,1.5123,0.0
3000,10,10.0,80,67.946,5,87.6403,89.3997,1.7594,0.0
3000,10,10.0,80,72.852,6,88.0383,89.3997,1.3614,0.0
3000,10,10.0,80,77.57,7,88.1173,89.3997,1.2824,0.0
3000,10,10.0,80,74.764,8,87.7728,89.3997,1.6269,0.0
3000,10,10.0,80,76.599,9,88.7183,89.3997,0.6814,0.0
3000,10,10.0,80,69.972,10,87.6491,89.3997,1.7506,0.0
