wl,N,M,power,hard,cap,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,10,linear,False,False,0.4,0.3,0.3,0,FIFO,-,0,0.3333333333333333,E1,5.26,31.19,35,2.825576,0.0,-499.1141,0.0,0,31.5391,5.1517,5.275,0.0,24.5,0,0.0,0.0
google,500,10,linear,False,False,0.4,0.3,0.3,0,Consolidation,-,0,0.3333333333333333,E1,5.26,31.19,35,0.471626,83.3087,0.0,0.0,0,5.1891,0.8542,43.373,0.0,24.5,0,0.0,0.0
google,500,10,linear,False,False,0.4,0.3,0.3,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E1,5.26,31.19,35,0.353564,87.487,25.033,0.0,0,4.6891,0.7568,49.264,0.0,26.0,0,0.0001,0.0
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,1,0.3333333333333333,E1,5.26,31.19,35,0.454619,83.9106,3.6059,0.0,0,5.0391,0.8334,46.814,0.0,24.5,4840,1.2914,1.06
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,2,0.3333333333333333,E1,5.26,31.19,35,0.452347,83.991,4.0878,0.0,0,5.0391,0.8323,47.372,0.0,24.5,4840,1.2249,0.99
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,3,0.3333333333333333,E1,5.26,31.19,35,0.456127,83.8572,3.2862,0.0,0,5.0891,0.8404,45.942,0.0,25.5,4840,1.2261,1.03
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,4,0.3333333333333333,E1,5.26,31.19,35,0.456739,83.8355,3.1564,0.0,0,5.0391,0.8329,47.363,0.0,24.5,4840,1.4412,1.02
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,5,0.3333333333333333,E1,5.26,31.19,35,0.45938,83.7421,2.5965,0.0,0,5.0891,0.831,45.325,0.0,24.5,4840,1.2572,1.02
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,6,0.3333333333333333,E1,5.26,31.19,35,0.465899,83.5113,1.2142,0.0,0,5.1391,0.8479,44.562,0.0,25.5,4840,1.2724,0.98
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,7,0.3333333333333333,E1,5.26,31.19,35,0.466425,83.4927,1.1026,0.0,0,5.1391,0.8479,44.694,0.0,24.5,4840,1.2209,1.08
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,8,0.3333333333333333,E1,5.26,31.19,35,0.466233,83.4995,1.1435,0.0,0,5.1391,0.8467,44.9,0.0,24.5,4840,1.2312,0.98
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,9,0.3333333333333333,E1,5.26,31.19,35,0.454241,83.924,3.6862,0.0,0,5.0391,0.8323,46.559,0.0,24.5,4840,1.4228,1.0
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,10,0.3333333333333333,E1,5.26,31.19,35,0.458961,83.7569,2.6854,0.0,0,5.0891,0.8392,45.95,0.0,24.5,4840,1.2674,0.99
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,11,0.3333333333333333,E1,5.26,31.19,35,0.461369,83.6717,2.1747,0.0,0,5.0891,0.8392,45.87,0.0,24.5,4840,1.2801,1.01
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,12,0.3333333333333333,E1,5.26,31.19,35,0.447895,84.1485,5.0317,0.0,0,4.9891,0.8317,49.622,0.0,24.5,4840,1.2901,0.99
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,13,0.3333333333333333,E1,5.26,31.19,35,0.466251,83.4989,1.1397,0.0,0,5.1391,0.8467,44.313,0.0,24.5,4840,1.2819,0.97
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,14,0.3333333333333333,E1,5.26,31.19,35,0.458958,83.757,2.686,0.0,0,5.0891,0.8392,45.772,0.0,24.5,4840,1.2777,1.03
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,15,0.3333333333333333,E1,5.26,31.19,35,0.463986,83.5791,1.6199,0.0,0,5.0891,0.8392,45.659,0.0,24.5,4840,1.2451,0.97
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,16,0.3333333333333333,E1,5.26,31.19,35,0.460721,83.6946,2.3122,0.0,0,5.0891,0.8392,45.928,0.0,24.5,4840,1.2488,0.98
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,17,0.3333333333333333,E1,5.26,31.19,35,0.450411,84.0595,4.4983,0.0,0,5.0391,0.8397,48.227,0.0,24.5,4840,1.4461,1.05
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,18,0.3333333333333333,E1,5.26,31.19,35,0.461618,83.6629,2.1219,0.0,0,5.0891,0.8392,45.627,0.0,24.5,4840,1.2471,0.99
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,19,0.3333333333333333,E1,5.26,31.19,35,0.461641,83.6621,2.1171,0.0,0,5.0891,0.8392,45.456,0.0,24.5,4840,1.3044,1.0
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,20,0.3333333333333333,E1,5.26,31.19,35,0.461373,83.6715,2.1738,0.0,0,5.0891,0.8392,45.728,0.0,24.5,4840,1.2804,0.96
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,21,0.3333333333333333,E1,5.26,31.19,35,0.454197,83.9255,3.6955,0.0,0,5.0391,0.8317,47.266,0.0,24.5,4840,1.2865,1.01
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,22,0.3333333333333333,E1,5.26,31.19,35,0.461601,83.6635,2.1256,0.0,0,5.0891,0.8392,45.456,0.0,26.0,4840,1.2591,1.0
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,23,0.3333333333333333,E1,5.26,31.19,35,0.464626,83.5564,1.4841,0.0,0,5.1391,0.8473,44.902,0.0,24.5,4840,1.2476,1.04
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,24,0.3333333333333333,E1,5.26,31.19,35,0.449216,84.1018,4.7516,0.0,0,4.9891,0.816,47.995,0.0,24.5,4840,1.2318,1.03
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,25,0.3333333333333333,E1,5.26,31.19,35,0.466108,83.504,1.1699,0.0,0,5.1391,0.8467,44.302,0.0,24.5,4840,1.4567,1.03
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,26,0.3333333333333333,E1,5.26,31.19,35,0.461697,83.6601,2.1052,0.0,0,5.0891,0.8392,45.392,0.0,24.5,4840,1.2714,0.98
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,27,0.3333333333333333,E1,5.26,31.19,35,0.462603,83.628,1.913,0.0,0,5.1391,0.8473,45.723,0.0,24.5,4840,1.2952,0.99
google,500,10,linear,False,False,0.4,0.3,0.3,0,WOA,random,28,0.3333333333333333,E1,5.26,31.19,35,0.466296,83.4973,1.1301,0.0,0,5.1391,0.8467,44.323,0.0,24.5,4840,1.2999,0.95
