N,M,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
500,10,CA-WOA,WOA,60,87.746,"[87.72, 87.77]",83.727,"[83.68, 83.78]",4.019,1.35e-106,3.35e-21,27.01,1.0,YES
500,10,CA-WOA,WOA+improved,60,87.746,"[87.72, 87.77]",83.729,"[83.67, 83.79]",4.016,3.34e-55,1.25e-14,34.37,1.0,YES
500,10,WOA+improved,WOA,30,83.729,"[83.67, 83.79]",83.727,"[83.68, 83.78]",0.003,0.943,0.464,0.02,0.096,no
500,10,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,87.746,"[87.72, 87.77]",87.948,"[87.89, 88.01]",-0.203,1.24e-07,5.17e-09,-1.69,-0.758,YES
500,10,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,87.746,"[87.72, 87.77]",87.734,"[87.70, 87.77]",0.011,0.576,0.585,0.12,0.071,no
500,20,CA-WOA,WOA,60,87.746,"[87.72, 87.77]",83.727,"[83.68, 83.78]",4.019,1.35e-106,3.35e-21,27.01,1.0,YES
500,20,CA-WOA,WOA+improved,60,87.746,"[87.72, 87.77]",83.729,"[83.67, 83.79]",4.016,3.34e-55,1.25e-14,34.37,1.0,YES
500,20,WOA+improved,WOA,30,83.729,"[83.67, 83.79]",83.727,"[83.68, 83.78]",0.003,0.943,0.464,0.02,0.096,no
500,20,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,87.746,"[87.72, 87.77]",87.948,"[87.89, 88.01]",-0.203,1.24e-07,5.17e-09,-1.69,-0.758,YES
500,20,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,87.746,"[87.72, 87.77]",87.734,"[87.70, 87.77]",0.011,0.576,0.585,0.12,0.071,no
1500,10,CA-WOA,WOA,60,87.044,"[86.97, 87.12]",86.351,"[86.32, 86.38]",0.693,7.63e-27,6.42e-21,3.07,0.993,YES
1500,10,CA-WOA,WOA+improved,60,87.044,"[86.97, 87.12]",86.347,"[86.31, 86.39]",0.697,6.09e-27,2.65e-14,2.74,0.989,YES
1500,10,WOA+improved,WOA,30,86.347,"[86.31, 86.39]",86.351,"[86.32, 86.38]",-0.004,0.859,0.71,-0.04,-0.049,no
1500,10,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,87.044,"[86.97, 87.12]",87.807,"[87.75, 87.87]",-0.763,7.84e-27,5.84e-14,-2.89,-0.976,YES
1500,10,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,87.044,"[86.97, 87.12]",88.952,"[88.94, 88.96]",-1.908,1.07e-50,8.71e-15,-7.72,-1.0,YES
1500,20,CA-WOA,WOA,60,88.852,"[88.83, 88.87]",86.375,"[86.34, 86.42]",2.476,7.04e-96,3.52e-21,20.18,1.0,YES
1500,20,CA-WOA,WOA+improved,60,88.852,"[88.83, 88.87]",86.325,"[86.26, 86.39]",2.526,1.14e-41,1.36e-14,21.97,1.0,YES
1500,20,WOA+improved,WOA,30,86.325,"[86.26, 86.39]",86.375,"[86.34, 86.42]",-0.05,0.174,0.246,-0.32,-0.151,no
1500,20,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,88.852,"[88.83, 88.87]",89.34,"[89.29, 89.39]",-0.489,3.35e-20,1.12e-13,-4.76,-0.964,YES
1500,20,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,88.852,"[88.83, 88.87]",88.952,"[88.94, 88.96]",-0.1,2.57e-13,4.57e-11,-1.5,-0.849,YES
3000,10,CA-WOA,WOA,60,87.582,"[87.56, 87.61]",87.145,"[87.12, 87.17]",0.437,6.07e-51,3.52e-21,4.86,1.0,YES
3000,10,CA-WOA,WOA+improved,60,87.582,"[87.56, 87.61]",87.172,"[87.15, 87.19]",0.41,3.07e-41,1.36e-14,4.77,1.0,YES
3000,10,WOA+improved,WOA,30,87.172,"[87.15, 87.19]",87.145,"[87.12, 87.17]",0.027,0.0782,0.142,0.35,0.191,no
3000,10,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,87.582,"[87.56, 87.61]",88.39,"[88.36, 88.42]",-0.808,7.32e-58,1.36e-14,-9.12,-1.0,YES
3000,10,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,87.582,"[87.56, 87.61]",89.406,"[89.40, 89.41]",-1.824,1.88e-79,9.75e-15,-22.92,-1.0,YES
3000,20,CA-WOA,WOA,60,87.844,"[87.77, 87.92]",87.094,"[87.08, 87.11]",0.75,4.03e-28,9.55e-21,3.42,0.989,YES
3000,20,CA-WOA,WOA+improved,60,87.844,"[87.77, 87.92]",87.098,"[87.07, 87.13]",0.746,8.14e-29,3.45e-14,2.97,0.984,YES
3000,20,WOA+improved,WOA,30,87.098,"[87.07, 87.13]",87.094,"[87.08, 87.11]",0.003,0.851,0.935,0.04,0.011,no
3000,20,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,87.844,"[87.77, 87.92]",88.609,"[88.56, 88.65]",-0.765,2.43e-29,2.03e-14,-2.99,-0.993,YES
3000,20,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,87.844,"[87.77, 87.92]",89.406,"[89.40, 89.41]",-1.562,1.14e-44,9.75e-15,-6.33,-1.0,YES
