N,M,ca_woa,ca_sd,greedy,diff_pp,p,winner
500,10,87.793,0.073,87.487,0.306,3.35e-20,CA-WOA
500,20,87.793,0.073,87.487,0.306,3.35e-20,CA-WOA
1000,10,88.195,0.095,88.514,-0.319,1.62e-17,greedy
1000,20,88.686,0.053,88.514,0.172,4.47e-17,CA-WOA
1500,10,87.346,0.238,88.936,-1.59,7.95e-26,greedy
1500,20,88.786,0.122,88.936,-0.15,2.27e-07,greedy
2000,10,87.598,0.221,89.239,-1.641,4.08e-27,greedy
2000,20,88.938,0.059,89.239,-0.301,1.73e-22,greedy
2500,10,87.526,0.16,89.376,-1.85,1.11e-32,greedy
2500,20,88.19,0.333,89.376,-1.186,3.27e-18,greedy
3000,10,87.541,0.095,89.4,-1.859,2.78e-39,greedy
3000,20,88.139,0.319,89.4,-1.261,1.84e-19,greedy
