wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,4,0.3333333333333333,GABUG,5.26,31.19,35,0.555146,80.3528,-17.709,59.8,299,5.6891,0.9625,46.351,0.0,True,33.0,40,0.0407,0.76
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,5,0.3333333333333333,GABUG,5.26,31.19,35,0.550459,80.5187,-16.7151,60.2,301,5.6891,0.9679,46.163,0.0,True,33.0,40,0.0455,0.76
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,6,0.3333333333333333,GABUG,5.26,31.19,35,0.569219,79.8548,-20.6929,59.0,295,5.8891,1.0103,43.056,0.0,True,34.5,40,0.0409,0.76
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,3,0.3333333333333333,GABUG,32.21,189.31,41,2.330058,86.4366,-3.244,62.6333,1879,25.3479,4.3697,77.813,0.0,True,35.0,40,0.218,3.85
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,4,0.3333333333333333,GABUG,32.21,189.31,41,2.29641,86.6324,-1.753,63.0333,1891,25.2979,4.3993,80.57,0.0,True,34.5,40,0.2254,3.85
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,5,0.3333333333333333,GABUG,32.21,189.31,41,2.344877,86.3503,-3.9006,62.9333,1888,25.4479,4.3734,78.583,0.0,True,34.0,40,0.2168,3.85
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,6,0.3333333333333333,GABUG,32.21,189.31,41,2.309747,86.5548,-2.344,62.4333,1873,25.4479,4.3908,79.486,0.0,True,34.0,40,0.2176,3.85
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,7,0.3333333333333333,GABUG,32.21,189.31,41,2.313114,86.5352,-2.4932,61.9333,1858,25.2979,4.3561,80.391,0.0,True,33.5,40,0.2176,3.85
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,8,0.3333333333333333,GABUG,32.21,189.31,41,2.362322,86.2487,-4.6736,61.9333,1858,25.5979,4.4051,76.305,0.0,True,36.0,40,0.2295,3.85
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,9,0.3333333333333333,GABUG,32.21,189.31,41,2.31516,86.5233,-2.5838,62.6,1878,25.3479,4.3471,80.602,0.0,True,36.5,40,0.229,3.85
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,10,0.3333333333333333,GABUG,32.21,189.31,41,2.340942,86.3732,-3.7262,62.8333,1885,25.5979,4.3964,76.877,0.0,True,35.5,40,0.2346,3.85
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,7,0.3333333333333333,GABUG,5.26,31.19,35,0.553088,80.4256,-17.2727,57.0,285,5.7391,0.9705,45.299,0.0,True,36.5,40,0.0447,0.78
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,8,0.3333333333333333,GABUG,5.26,31.19,35,0.558126,80.2473,-18.3409,61.0,305,5.7391,0.9732,45.635,0.0,True,34.5,40,0.045,0.77
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,9,0.3333333333333333,GABUG,5.26,31.19,35,0.560411,80.1665,-18.8255,60.0,300,5.7891,0.9885,44.635,0.0,True,33.5,40,0.0394,0.77
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,10,0.3333333333333333,GABUG,5.26,31.19,35,0.561698,80.1209,-19.0983,60.0,300,5.7391,0.9683,45.684,0.0,True,33.0,40,0.0417,0.77
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,1,0.3333333333333333,GABUG,5.26,31.19,35,0.479504,83.0299,-1.6705,20.8,104,5.2391,0.8852,53.501,0.0,True,30.5,4840,2.1787,1.69
