N,M,pen,scheduler,seed,forecast_mae,carbon_kg,carbon_red_%,sla_%,nfe
3000,10,10.0,oracle,6,25.351,3.118294,87.3669,0.0,4840
3000,10,10.0,reactive,7,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,7,25.351,3.173695,87.1424,0.0,4840
3000,10,10.0,oracle,7,25.351,3.123237,87.3469,0.0,4840
3000,10,10.0,reactive,8,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,8,25.351,3.122156,87.3512,0.0,4840
3000,10,10.0,oracle,8,25.351,3.140664,87.2762,0.0,4840
3000,10,10.0,reactive,9,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,9,25.351,3.146056,87.2544,0.0,4840
3000,10,10.0,oracle,9,25.351,3.146236,87.2537,0.0,4840
3000,10,10.0,reactive,10,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,10,25.351,3.148887,87.2429,0.0,4840
3000,10,10.0,oracle,10,25.351,3.111173,87.3957,0.0,4840
