N,M,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
1000,10,CA-WOA,HHO,30,88.305,"[88.25, 88.36]",86.439,"[86.37, 86.51]",1.866,1.27e-42,3.02e-11,10.38,1.0,YES
1000,10,CA-WOA,PSO,30,88.305,"[88.25, 88.36]",84.924,"[84.82, 85.03]",3.381,2.99e-45,3.02e-11,15.13,1.0,YES
1000,10,CA-WOA,WOA,30,88.305,"[88.25, 88.36]",86.057,"[85.93, 86.18]",2.248,4.05e-32,3.02e-11,8.76,1.0,YES
1000,20,CA-WOA,DE,30,88.611,"[88.59, 88.63]",84.888,"[84.81, 84.96]",3.723,2.69e-42,3.01e-11,25.56,1.0,YES
1000,20,CA-WOA,GA,30,88.611,"[88.59, 88.63]",85.2,"[85.12, 85.28]",3.411,8.36e-40,3.01e-11,22.11,1.0,YES
1000,20,CA-WOA,GWO,30,88.611,"[88.59, 88.63]",86.385,"[86.34, 86.43]",2.227,1.12e-44,3.01e-11,22.08,1.0,YES
1000,20,CA-WOA,HHO,30,88.611,"[88.59, 88.63]",86.48,"[86.43, 86.53]",2.132,1.61e-41,3.01e-11,19.56,1.0,YES
1000,20,CA-WOA,PSO,30,88.611,"[88.59, 88.63]",84.924,"[84.82, 85.03]",3.687,2.99e-36,3.01e-11,18.74,1.0,YES
1000,20,CA-WOA,WOA,30,88.611,"[88.59, 88.63]",86.109,"[86.00, 86.22]",2.502,2.15e-29,3.01e-11,11.46,1.0,YES
1500,10,CA-WOA,DE,30,87.044,"[86.93, 87.16]",85.789,"[85.72, 85.85]",1.255,5.12e-24,3.02e-11,5.08,1.0,YES
1500,10,CA-WOA,GA,30,87.044,"[86.93, 87.16]",85.731,"[85.68, 85.78]",1.313,8.28e-24,3.02e-11,5.57,1.0,YES
1500,10,CA-WOA,GWO,30,87.044,"[86.93, 87.16]",86.658,"[86.61, 86.71]",0.385,1.44e-07,5.09e-06,1.65,0.687,YES
1500,10,CA-WOA,HHO,30,87.044,"[86.93, 87.16]",86.753,"[86.70, 86.80]",0.291,2.11e-05,4.64e-05,1.25,0.613,YES
1500,10,CA-WOA,PSO,30,87.044,"[86.93, 87.16]",85.75,"[85.69, 85.81]",1.293,1.81e-24,3.02e-11,5.27,1.0,YES
1500,10,CA-WOA,WOA,30,87.044,"[86.93, 87.16]",86.351,"[86.31, 86.39]",0.693,6.52e-14,4.08e-11,3.05,0.993,YES
1500,20,CA-WOA,DE,30,88.852,"[88.82, 88.88]",85.789,"[85.72, 85.85]",3.062,2.97e-48,3.02e-11,22.85,1.0,YES
1500,20,CA-WOA,GA,30,88.852,"[88.82, 88.88]",85.731,"[85.68, 85.78]",3.121,3.71e-57,3.02e-11,27.72,1.0,YES
1500,20,CA-WOA,GWO,30,88.852,"[88.82, 88.88]",86.658,"[86.61, 86.71]",2.193,4.35e-52,3.02e-11,20.23,1.0,YES
1500,20,CA-WOA,HHO,30,88.852,"[88.82, 88.88]",86.827,"[86.76, 86.89]",2.025,2.84e-39,3.02e-11,14.4,1.0,YES
1500,20,CA-WOA,PSO,30,88.852,"[88.82, 88.88]",85.75,"[85.69, 85.81]",3.101,2.83e-49,3.02e-11,23.57,1.0,YES
1500,20,CA-WOA,WOA,30,88.852,"[88.82, 88.88]",86.375,"[86.32, 86.43]",2.476,6.91e-48,3.02e-11,20.01,1.0,YES
2000,10,CA-WOA,DE,30,87.399,"[87.32, 87.48]",86.291,"[86.25, 86.33]",1.109,1.53e-26,3.02e-11,6.19,1.0,YES
2000,10,CA-WOA,GA,30,87.399,"[87.32, 87.48]",86.386,"[86.35, 86.42]",1.014,6.55e-24,3.02e-11,5.88,1.0,YES
2000,10,CA-WOA,GWO,30,87.399,"[87.32, 87.48]",86.973,"[86.94, 87.00]",0.427,1.13e-11,2.87e-10,2.52,0.949,YES
2000,10,CA-WOA,HHO,30,87.399,"[87.32, 87.48]",87.148,"[87.11, 87.19]",0.251,2.31e-06,2.77e-05,1.41,0.631,YES
2000,10,CA-WOA,PSO,30,87.399,"[87.32, 87.48]",86.258,"[86.20, 86.32]",1.141,1.33e-28,3.02e-11,5.87,1.0,YES
2000,10,CA-WOA,WOA,30,87.399,"[87.32, 87.48]",86.789,"[86.75, 86.83]",0.61,1.43e-16,3.34e-11,3.48,0.998,YES
2000,20,CA-WOA,DE,30,88.944,"[88.92, 88.97]",86.291,"[86.25, 86.33]",2.653,4.21e-58,3.02e-11,28.17,1.0,YES
2000,20,CA-WOA,GA,30,88.944,"[88.92, 88.97]",86.386,"[86.35, 86.42]",2.559,6.03e-67,3.02e-11,31.69,1.0,YES
2000,20,CA-WOA,GWO,30,88.944,"[88.92, 88.97]",86.975,"[86.94, 87.01]",1.969,2.94e-65,3.02e-11,26.28,1.0,YES
2000,20,CA-WOA,HHO,30,88.944,"[88.92, 88.97]",87.309,"[87.23, 87.39]",1.635,2.07e-31,3.02e-11,10.67,1.0,YES
2000,20,CA-WOA,PSO,30,88.944,"[88.92, 88.97]",86.258,"[86.20, 86.32]",2.686,2.03e-46,3.02e-11,22.21,1.0,YES
2000,20,CA-WOA,WOA,30,88.944,"[88.92, 88.97]",86.812,"[86.76, 86.86]",2.132,1.28e-49,3.02e-11,20.92,1.0,YES
2500,10,CA-WOA,DE,30,87.55,"[87.50, 87.60]",86.526,"[86.48, 86.57]",1.025,3.72e-38,3.02e-11,8.14,1.0,YES
2500,10,CA-WOA,GA,30,87.55,"[87.50, 87.60]",86.594,"[86.56, 86.63]",0.956,3.99e-38,3.02e-11,8.39,1.0,YES
2500,10,CA-WOA,GWO,30,87.55,"[87.50, 87.60]",87.024,"[86.99, 87.06]",0.526,5.41e-25,3.02e-11,4.69,1.0,YES
2500,10,CA-WOA,HHO,30,87.55,"[87.50, 87.60]",87.245,"[87.22, 87.27]",0.305,1.99e-15,1.46e-10,2.96,0.964,YES
2500,10,CA-WOA,PSO,30,87.55,"[87.50, 87.60]",86.487,"[86.44, 86.54]",1.063,7.79e-38,3.02e-11,8.12,1.0,YES
2500,10,CA-WOA,WOA,30,87.55,"[87.50, 87.60]",87.007,"[86.97, 87.05]",0.543,1.76e-25,3.02e-11,4.75,1.0,YES
2500,20,CA-WOA,DE,30,88.815,"[88.77, 88.86]",86.526,"[86.48, 86.57]",2.29,3.14e-58,3.02e-11,19.05,1.0,YES
2500,20,CA-WOA,GA,30,88.815,"[88.77, 88.86]",86.594,"[86.56, 86.63]",2.221,9.47e-61,3.02e-11,20.64,1.0,YES
2500,20,CA-WOA,GWO,30,88.815,"[88.77, 88.86]",87.037,"[87.00, 87.07]",1.779,7.08e-55,3.02e-11,17.7,1.0,YES
2500,20,CA-WOA,HHO,30,88.815,"[88.77, 88.86]",87.363,"[87.30, 87.42]",1.453,2.63e-40,3.02e-11,10.35,1.0,YES
2500,20,CA-WOA,PSO,30,88.815,"[88.77, 88.86]",86.487,"[86.44, 86.54]",2.329,1.54e-56,3.02e-11,18.55,1.0,YES
2500,20,CA-WOA,WOA,30,88.815,"[88.77, 88.86]",86.935,"[86.91, 86.96]",1.881,7.87e-55,3.02e-11,19.46,1.0,YES
3000,10,CA-WOA,DE,30,87.582,"[87.55, 87.62]",86.693,"[86.66, 86.73]",0.889,2.12e-41,3.02e-11,9.34,1.0,YES
3000,10,CA-WOA,GA,30,87.582,"[87.55, 87.62]",86.807,"[86.76, 86.85]",0.775,4.05e-35,3.02e-11,7.3,1.0,YES
3000,10,CA-WOA,GWO,30,87.582,"[87.55, 87.62]",87.107,"[87.08, 87.14]",0.475,9.45e-28,3.02e-11,5.32,1.0,YES
3000,10,CA-WOA,HHO,30,87.582,"[87.55, 87.62]",87.367,"[87.33, 87.40]",0.215,6.02e-12,5.46e-09,2.22,0.878,YES
3000,10,CA-WOA,PSO,30,87.582,"[87.55, 87.62]",86.7,"[86.66, 86.74]",0.881,1.01e-39,3.02e-11,8.72,1.0,YES
3000,10,CA-WOA,WOA,30,87.582,"[87.55, 87.62]",87.145,"[87.11, 87.18]",0.437,8.17e-26,3.02e-11,4.82,1.0,YES
3000,20,CA-WOA,DE,30,87.844,"[87.73, 87.96]",86.692,"[86.66, 86.72]",1.153,2.51e-20,3.02e-11,5.15,1.0,YES
3000,20,CA-WOA,GA,30,87.844,"[87.73, 87.96]",86.807,"[86.76, 86.85]",1.038,1.65e-19,3.02e-11,4.53,1.0,YES
3000,20,CA-WOA,GWO,30,87.844,"[87.73, 87.96]",87.134,"[87.11, 87.16]",0.71,6.19e-14,9.91e-11,3.2,0.973,YES
3000,20,CA-WOA,HHO,30,87.844,"[87.73, 87.96]",87.512,"[87.45, 87.57]",0.332,3.57e-06,2.88e-06,1.37,0.704,YES
3000,20,CA-WOA,PSO,30,87.844,"[87.73, 87.96]",86.7,"[86.66, 86.74]",1.144,1.19e-20,3.02e-11,5.04,1.0,YES
3000,20,CA-WOA,WOA,30,87.844,"[87.73, 87.96]",87.094,"[87.07, 87.12]",0.75,1.55e-14,4.98e-11,3.4,0.989,YES
