wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,3,GA,random,5,0.3333333333333333,E26,16.49,95.45,39,2.809479,87.013,6.1714,0.0,0,12.5091,2.0669,86.127,0.0,True,25.5,4840,5.7495,3.75
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,3,GA,random,6,0.3333333333333333,E26,16.49,95.45,39,2.828277,86.9261,5.5436,0.0,0,12.6091,2.0729,84.186,0.0,True,27.0,4840,5.7062,3.65
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,3,GA,random,7,0.3333333333333333,E26,16.49,95.45,39,2.83237,86.9072,5.4069,0.0,0,12.6591,2.0871,82.746,0.0,True,26.5,4840,5.7629,3.71
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,3,GA,random,8,0.3333333333333333,E26,16.49,95.45,39,2.822658,86.9521,5.7313,0.0,0,12.6091,2.0762,83.265,0.0,True,28.0,4840,5.8009,3.77
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,DE,random,2,0.3333333333333333,E26,16.49,95.45,39,1.285221,86.6184,3.8162,0.0,0,12.7591,2.1102,80.912,0.0,True,26.5,4840,3.6202,2.62
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,DE,random,3,0.3333333333333333,E26,16.49,95.45,39,1.275005,86.7248,4.5807,0.0,0,12.6591,2.0633,83.792,0.0,True,26.0,4840,3.5038,2.73
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,DE,random,4,0.3333333333333333,E26,16.49,95.45,39,1.283377,86.6376,3.9542,0.0,0,12.7591,2.1143,82.418,0.0,True,25.5,4840,3.5333,2.65
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,DE,random,5,0.3333333333333333,E26,16.49,95.45,39,1.263613,86.8434,5.4333,0.0,0,12.5591,2.0693,85.446,0.0,True,26.0,4840,3.4678,2.78
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,DE,random,6,0.3333333333333333,E26,16.49,95.45,39,1.279894,86.6739,4.2149,0.0,0,12.7091,2.0993,81.672,0.0,True,27.5,4840,3.483,2.72
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,DE,random,7,0.3333333333333333,E26,16.49,95.45,39,1.282584,86.6459,4.0135,0.0,0,12.7591,2.1113,82.798,0.0,True,25.5,4840,3.5409,2.6
