wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E3,5.26,31.19,35,0.353564,87.487,25.033,0.0,0,4.6891,0.7568,49.264,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,1,0.3333333333333333,E3,5.26,31.19,35,0.454619,83.9106,3.6059,0.0,0,5.0391,0.8334,46.814,0.0,True,24.5,4840,1.6128,1.06
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,2,0.3333333333333333,E3,5.26,31.19,35,0.452347,83.991,4.0878,0.0,0,5.0391,0.8323,47.372,0.0,True,24.5,4840,1.6096,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,3,0.3333333333333333,E3,5.26,31.19,35,0.456127,83.8572,3.2862,0.0,0,5.0891,0.8404,45.942,0.0,True,25.5,4840,1.6213,1.04
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,4,0.3333333333333333,E3,5.26,31.19,35,0.456739,83.8355,3.1564,0.0,0,5.0391,0.8329,47.363,0.0,True,24.5,4840,1.6385,1.02
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,5,0.3333333333333333,E3,5.26,31.19,35,0.45938,83.7421,2.5965,0.0,0,5.0891,0.831,45.325,0.0,True,24.5,4840,1.603,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,6,0.3333333333333333,E3,5.26,31.19,35,0.465899,83.5113,1.2142,0.0,0,5.1391,0.8479,44.562,0.0,True,25.5,4840,1.5811,0.95
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,7,0.3333333333333333,E3,5.26,31.19,35,0.466425,83.4927,1.1026,0.0,0,5.1391,0.8479,44.694,0.0,True,24.5,4840,1.6177,1.06
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,10,0.3333333333333333,E3,5.26,31.19,35,0.466314,83.4967,1.1262,0.0,0,5.1391,0.8467,44.505,0.0,True,24.5,4840,1.5944,0.99
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,11,0.3333333333333333,E3,5.26,31.19,35,0.459133,83.7508,2.6488,0.0,0,5.0891,0.8392,46.025,0.0,True,24.5,4840,1.5966,0.98
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,12,0.3333333333333333,E3,5.26,31.19,35,0.466318,83.4965,1.1254,0.0,0,5.1391,0.8467,44.334,0.0,True,24.5,4840,1.5958,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,13,0.3333333333333333,E3,5.26,31.19,35,0.458952,83.7572,2.6872,0.0,0,5.0391,0.8317,47.462,0.0,True,24.5,4840,1.6116,0.99
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,14,0.3333333333333333,E3,5.26,31.19,35,0.458629,83.7686,2.7556,0.0,0,5.0391,0.8317,47.358,0.0,True,24.5,4840,1.5943,0.96
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,15,0.3333333333333333,E3,5.26,31.19,35,0.461228,83.6767,2.2046,0.0,0,5.0891,0.8398,46.112,0.0,True,24.5,4840,1.5776,0.96
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,16,0.3333333333333333,E3,5.26,31.19,35,0.466157,83.5022,1.1596,0.0,0,5.1391,0.8467,44.911,0.0,True,24.5,4840,1.5977,0.96
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,17,0.3333333333333333,E3,5.26,31.19,35,0.466329,83.4961,1.123,0.0,0,5.1391,0.8467,44.206,0.0,True,24.5,4840,1.5703,0.96
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,26,0.3333333333333333,E3,5.26,31.19,35,0.459088,83.7524,2.6584,0.0,0,5.0891,0.8392,45.491,0.0,True,24.5,4840,1.6001,1.04
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,27,0.3333333333333333,E3,5.26,31.19,35,0.464439,83.563,1.5239,0.0,0,5.1391,0.8467,44.829,0.0,True,26.0,4840,1.5922,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,28,0.3333333333333333,E3,5.26,31.19,35,0.454422,83.9175,3.6477,0.0,0,5.0391,0.8317,46.881,0.0,True,24.5,4840,1.5984,1.05
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,29,0.3333333333333333,E3,5.26,31.19,35,0.466336,83.4959,1.1216,0.0,0,5.1391,0.8462,44.649,0.0,True,24.5,4840,1.6095,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,30,0.3333333333333333,E3,5.26,31.19,35,0.454428,83.9173,3.6464,0.0,0,5.0391,0.8241,46.937,0.0,True,24.5,4840,1.5837,1.01
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,carbon,1,0.3333333333333333,E3,5.26,31.19,35,0.345269,87.7806,26.7918,0.0,0,4.5891,0.7418,53.759,0.0,True,26.0,4840,1.5815,0.98
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,carbon,2,0.3333333333333333,E3,5.26,31.19,35,0.34527,87.7805,26.7915,0.0,0,4.5891,0.7418,52.437,0.0,True,26.0,4840,1.6037,0.98
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,carbon,3,0.3333333333333333,E3,5.26,31.19,35,0.34525,87.7813,26.7958,0.0,0,4.5891,0.7418,53.086,0.0,True,26.0,4840,1.5822,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,16,0.3333333333333333,E3,5.26,31.19,35,0.460721,83.6946,2.3122,0.0,0,5.0891,0.8392,45.928,0.0,True,24.5,4840,1.5989,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,17,0.3333333333333333,E3,5.26,31.19,35,0.450411,84.0595,4.4983,0.0,0,5.0391,0.8397,48.227,0.0,True,24.5,4840,1.6079,1.05
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,18,0.3333333333333333,E3,5.26,31.19,35,0.461618,83.6629,2.1219,0.0,0,5.0891,0.8392,45.627,0.0,True,24.5,4840,1.6008,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,19,0.3333333333333333,E3,5.26,31.19,35,0.461641,83.6621,2.1171,0.0,0,5.0891,0.8392,45.456,0.0,True,24.5,4840,1.6231,1.01
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,20,0.3333333333333333,E3,5.26,31.19,35,0.461373,83.6715,2.1738,0.0,0,5.0891,0.8392,45.728,0.0,True,24.5,4840,1.585,0.96
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,21,0.3333333333333333,E3,5.26,31.19,35,0.454197,83.9255,3.6955,0.0,0,5.0391,0.8317,47.266,0.0,True,24.5,4840,1.5772,1.01
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,22,0.3333333333333333,E3,5.26,31.19,35,0.461601,83.6635,2.1256,0.0,0,5.0891,0.8392,45.456,0.0,True,26.0,4840,1.6111,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,23,0.3333333333333333,E3,5.26,31.19,35,0.464626,83.5564,1.4841,0.0,0,5.1391,0.8473,44.902,0.0,True,24.5,4840,1.5809,1.02
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,8,0.3333333333333333,E3,5.26,31.19,35,0.466233,83.4995,1.1435,0.0,0,5.1391,0.8467,44.9,0.0,True,24.5,4840,1.6,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,9,0.3333333333333333,E3,5.26,31.19,35,0.454241,83.924,3.6862,0.0,0,5.0391,0.8323,46.559,0.0,True,24.5,4840,1.6187,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,10,0.3333333333333333,E3,5.26,31.19,35,0.458961,83.7569,2.6854,0.0,0,5.0891,0.8392,45.95,0.0,True,24.5,4840,1.6102,0.99
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,11,0.3333333333333333,E3,5.26,31.19,35,0.461369,83.6717,2.1747,0.0,0,5.0891,0.8392,45.87,0.0,True,24.5,4840,1.6184,1.03
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,12,0.3333333333333333,E3,5.26,31.19,35,0.447895,84.1485,5.0317,0.0,0,4.9891,0.8317,49.622,0.0,True,24.5,4840,1.5791,0.99
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,13,0.3333333333333333,E3,5.26,31.19,35,0.466251,83.4989,1.1397,0.0,0,5.1391,0.8467,44.313,0.0,True,24.5,4840,1.592,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,14,0.3333333333333333,E3,5.26,31.19,35,0.458958,83.757,2.686,0.0,0,5.0891,0.8392,45.772,0.0,True,24.5,4840,1.6089,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,15,0.3333333333333333,E3,5.26,31.19,35,0.463986,83.5791,1.6199,0.0,0,5.0891,0.8392,45.659,0.0,True,24.5,4840,1.5837,0.95
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,18,0.3333333333333333,E3,5.26,31.19,35,0.46138,83.6713,2.1723,0.2,1,5.0891,0.8392,45.26,0.0,True,24.5,4840,1.6063,1.07
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,19,0.3333333333333333,E3,5.26,31.19,35,0.453252,83.9589,3.8957,0.0,0,5.0391,0.831,49.227,0.0,True,25.0,4840,1.6117,1.08
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,20,0.3333333333333333,E3,5.26,31.19,35,0.459794,83.7274,2.5087,0.0,0,5.0891,0.8398,46.374,0.0,True,24.5,4840,1.6009,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,21,0.3333333333333333,E3,5.26,31.19,35,0.451578,84.0182,4.2508,0.0,0,5.0391,0.8317,47.795,0.0,True,26.0,4840,1.6173,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,22,0.3333333333333333,E3,5.26,31.19,35,0.461349,83.6724,2.179,0.0,0,5.0891,0.8392,45.744,0.0,True,24.5,4840,1.5941,0.98
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,23,0.3333333333333333,E3,5.26,31.19,35,0.455934,83.864,3.3271,0.0,0,5.0391,0.8392,48.679,0.0,True,24.5,4840,1.5806,0.99
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,24,0.3333333333333333,E3,5.26,31.19,35,0.461475,83.6679,2.1523,0.0,0,5.0891,0.8392,45.995,0.0,True,24.5,4840,1.6049,0.94
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,25,0.3333333333333333,E3,5.26,31.19,35,0.456344,83.8495,3.2403,0.0,0,5.0391,0.8323,46.82,0.0,True,24.5,4840,1.5783,0.96
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,2,0.3333333333333333,E3,5.26,31.19,35,0.456514,83.8435,3.2042,0.0,0,5.0391,0.8317,47.05,0.0,True,24.5,4840,1.619,1.05
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,3,0.3333333333333333,E3,5.26,31.19,35,0.459294,83.7451,2.6147,0.0,0,5.0891,0.8392,45.972,0.0,True,24.5,4840,1.6,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,4,0.3333333333333333,E3,5.26,31.19,35,0.461331,83.673,2.1828,0.0,0,5.0891,0.8392,45.539,0.0,True,24.5,4840,1.6123,0.97
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,5,0.3333333333333333,E3,5.26,31.19,35,0.459368,83.7425,2.5989,0.0,0,5.0891,0.831,45.271,0.0,True,24.5,4840,1.6299,0.96
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,6,0.3333333333333333,E3,5.26,31.19,35,0.454151,83.9271,3.7052,0.0,0,5.0391,0.8235,47.222,0.0,True,24.5,4840,1.5958,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,improved,7,0.3333333333333333,E3,5.26,31.19,35,0.464638,83.556,1.4816,0.0,0,5.1391,0.8467,44.741,0.0,True,24.5,4840,1.575,0.96
