wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,FIFO,-,0,0.3333333333333333,E21,5.26,31.19,35,2.825576,0.0,-499.1141,0.0,0,31.5391,5.1517,5.275,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,Consolidation,-,0,0.3333333333333333,E21,5.26,31.19,35,0.471626,83.3087,0.0,0.0,0,5.1891,0.8542,43.373,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E21,5.26,31.19,35,0.353564,87.487,25.033,0.0,0,4.6891,0.7568,49.264,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,WOA,random,1,0.3333333333333333,E21,5.26,31.19,35,0.454619,83.9106,3.6059,0.0,0,5.0391,0.8334,46.814,0.0,True,24.5,4840,1.508,1.06
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,WOA,random,2,0.3333333333333333,E21,5.26,31.19,35,0.452347,83.991,4.0878,0.0,0,5.0391,0.8323,47.372,0.0,True,24.5,4840,1.548,1.0
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,WOA,random,3,0.3333333333333333,E21,5.26,31.19,35,0.456127,83.8572,3.2862,0.0,0,5.0891,0.8404,45.942,0.0,True,25.5,4840,1.5926,1.04
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,WOA,random,4,0.3333333333333333,E21,5.26,31.19,35,0.456739,83.8355,3.1564,0.0,0,5.0391,0.8329,47.363,0.0,True,24.5,4840,1.5671,1.02
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,WOA,random,5,0.3333333333333333,E21,5.26,31.19,35,0.45938,83.7421,2.5965,0.0,0,5.0891,0.831,45.325,0.0,True,24.5,4840,1.5757,1.0
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,WOA,random,22,0.3333333333333333,E21,5.26,31.19,35,0.461601,83.6635,2.1256,0.0,0,5.0891,0.8392,45.456,0.0,True,26.0,4840,1.4906,1.01
google,500,10,linear,False,False,10.0,0.4,0.3,0.3,0,WOA,random,23,0.3333333333333333,E21,5.26,31.19,35,0.464626,83.5564,1.4841,0.0,0,5.1391,0.8473,44.902,0.0,True,24.5,4840,1.5234,1.04
