wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E22,10.62,62.6,36,0.65416,88.5139,22.9223,0.0,0,8.6948,1.4,57.308,7.1411,False,26.0,0,0.0002,0.0
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,random,1,0.3333333333333333,E22,10.62,62.6,36,0.772131,86.4426,9.0222,0.0,0,8.7948,1.449,72.84,0.0,True,27.0,4840,2.0993,1.75
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,random,2,0.3333333333333333,E22,10.62,62.6,36,0.752534,86.7866,11.3312,0.0,0,8.6948,1.4326,72.933,0.0,True,27.0,4840,2.4425,1.76
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,random,3,0.3333333333333333,E22,10.62,62.6,36,0.773165,86.4244,8.9003,0.0,0,8.7448,1.4399,73.507,0.0,True,27.5,4840,2.7006,1.87
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,random,4,0.3333333333333333,E22,10.62,62.6,36,0.764453,86.5774,9.9268,0.0,0,8.8448,1.4591,71.296,0.0,True,27.0,4840,2.6201,1.98
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,random,5,0.3333333333333333,E22,10.62,62.6,36,0.749533,86.8393,11.6848,0.0,0,8.6948,1.4341,75.015,0.0,True,26.5,4840,2.5505,1.85
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,random,6,0.3333333333333333,E22,10.62,62.6,36,0.757738,86.6953,10.7181,0.0,0,8.6448,1.4234,74.763,0.0,True,26.5,4840,2.5455,1.83
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,random,7,0.3333333333333333,E22,10.62,62.6,36,0.774837,86.395,8.7034,0.0,0,8.8448,1.4669,71.096,0.0,True,28.0,4840,2.5409,1.85
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,carbon,28,0.3333333333333333,E22,10.62,62.6,36,0.679176,88.0747,19.9748,0.0,0,8.7948,1.415,60.468,0.0,True,26.0,4840,2.1102,1.73
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,carbon,29,0.3333333333333333,E22,10.62,62.6,36,0.667895,88.2728,21.3039,0.0,0,8.7448,1.4162,61.276,0.0,True,26.5,4840,2.4352,1.76
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,carbon,30,0.3333333333333333,E22,10.62,62.6,36,0.667954,88.2717,21.2971,0.0,0,8.6948,1.4006,64.166,0.0,True,26.5,4840,2.6703,1.91
google,1000,10,linear,True,False,10.0,0.7,0.0,0.3,0,WOA,carbon,1,0.3333333333333333,E22,10.62,62.6,36,0.677603,88.1023,20.1601,0.0,0,8.7948,1.4075,61.04,0.0,True,26.5,4840,2.6268,1.74
google,1000,10,linear,True,False,10.0,0.7,0.0,0.3,0,WOA,carbon,2,0.3333333333333333,E22,10.62,62.6,36,0.674456,88.1576,20.531,0.0,0,8.7448,1.4,61.799,0.0,True,26.0,4840,2.5437,1.77
google,1000,10,linear,True,False,10.0,0.7,0.0,0.3,0,WOA,carbon,3,0.3333333333333333,E22,10.62,62.6,36,0.683258,88.003,19.4938,0.0,0,8.7948,1.4225,58.226,0.0,True,26.5,4840,2.5366,1.73
google,1000,10,linear,True,False,10.0,0.7,0.0,0.3,0,WOA,carbon,4,0.3333333333333333,E22,10.62,62.6,36,0.674127,88.1634,20.5697,0.0,0,8.7448,1.4075,60.517,0.0,True,26.5,4840,2.5147,1.72
google,1000,10,linear,True,False,10.0,0.7,0.0,0.3,0,WOA,carbon,5,0.3333333333333333,E22,10.62,62.6,36,0.677312,88.1074,20.1944,0.0,0,8.7448,1.4075,62.419,0.0,True,26.0,4840,2.5796,1.67
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,improved,18,0.3333333333333333,E22,10.62,62.6,36,0.750689,86.819,11.5486,0.0,0,8.6948,1.4291,74.158,0.0,True,25.5,4840,2.0906,1.81
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,improved,19,0.3333333333333333,E22,10.62,62.6,36,0.76308,86.6015,10.0887,0.0,0,8.7448,1.4418,73.256,0.0,True,26.5,4840,2.4329,1.7
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,improved,20,0.3333333333333333,E22,10.62,62.6,36,0.766964,86.5333,9.631,0.0,0,8.8948,1.4712,70.217,0.0,True,28.5,4840,2.6834,1.75
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,improved,21,0.3333333333333333,E22,10.62,62.6,36,0.761495,86.6293,10.2754,0.0,0,8.7448,1.4399,73.78,0.0,True,27.0,4840,2.6068,1.79
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,improved,22,0.3333333333333333,E22,10.62,62.6,36,0.771638,86.4512,9.0803,0.0,0,8.7448,1.4422,73.364,0.0,True,26.5,4840,2.5495,1.69
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,improved,23,0.3333333333333333,E22,10.62,62.6,36,0.768908,86.4991,9.402,0.0,0,8.7448,1.4353,73.757,0.0,True,25.5,4840,2.5331,1.7
google,1000,10,linear,True,False,10.0,0.4,0.3,0.3,0,WOA,improved,24,0.3333333333333333,E22,10.62,62.6,36,0.762966,86.6035,10.102,0.0,0,8.7448,1.4395,71.685,0.0,True,26.5,4840,2.5298,1.78
