wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,VCC(Google),-,0,0.3333333333333333,E29,32.21,189.31,41,2.34253,87.9409,1.4054,0.0,0,25.9854,4.239,69.198,0.0,True,24.5,0,0.0099,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,Threshold(WaitAwhile),-,0,0.3333333333333333,E29,32.21,189.31,41,2.271217,88.308,4.4069,0.0,0,25.9854,4.1553,75.225,8.1908,False,25.5,0,0.0412,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,1,0.3333333333333333,E29,32.21,189.31,41,2.17548,88.8008,8.4364,0.0,0,25.2229,4.137,80.87,0.0,True,28.0,4840,5.972,5.03
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,2,0.3333333333333333,E29,32.21,189.31,41,2.156073,88.9007,9.2532,0.0,0,25.0604,4.1186,83.882,0.0,True,27.5,4840,6.0005,4.73
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,3,0.3333333333333333,E29,32.21,189.31,41,2.159985,88.8806,9.0885,0.0,0,25.2104,4.146,81.041,0.0,True,28.5,4840,5.9901,4.73
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,4,0.3333333333333333,E29,32.21,189.31,41,2.175298,88.8017,8.444,0.0,0,25.3604,4.1782,82.269,0.0,True,28.0,4840,6.1162,4.98
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,5,0.3333333333333333,E29,32.21,189.31,41,2.164814,88.8557,8.8853,0.0,0,25.0854,4.1021,82.954,0.0,True,28.0,4840,5.9237,5.35
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,5,0.3333333333333333,E29,32.21,189.31,41,2.039432,88.1283,9.6336,0.0,0,24.6979,4.0025,83.029,0.0,True,27.0,4840,5.7506,5.28
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,6,0.3333333333333333,E29,32.21,189.31,41,2.014701,88.2723,10.7294,0.0,0,24.9479,4.0197,75.821,0.0,True,28.0,4840,5.7355,5.01
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,7,0.3333333333333333,E29,32.21,189.31,41,2.070038,87.9501,8.2774,0.0,0,24.6479,4.0541,81.193,0.0,True,27.5,4840,5.7882,4.99
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,8,0.3333333333333333,E29,32.21,189.31,41,2.051767,88.0565,9.087,0.0,0,24.5979,4.047,82.546,0.0,True,27.5,4840,5.6547,4.87
