N,M,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
1000,10,CA-WOA,HHO,30,86.624,"[86.50, 86.74]",86.473,"[86.42, 86.53]",0.15,0.0262,0.0351,0.6,0.318,YES
1000,10,CA-WOA,PSO,30,86.624,"[86.50, 86.74]",84.924,"[84.82, 85.03]",1.699,2.02e-29,3.02e-11,5.69,1.0,YES
1000,10,CA-WOA,WOA,30,86.624,"[86.50, 86.74]",86.044,"[85.93, 86.16]",0.58,1.41e-09,1.56e-08,1.86,0.851,YES
1000,20,CA-WOA,DE,30,88.611,"[88.59, 88.63]",84.888,"[84.81, 84.96]",3.723,2.69e-42,3.01e-11,25.56,1.0,YES
1000,20,CA-WOA,GA,30,88.611,"[88.59, 88.63]",85.2,"[85.12, 85.28]",3.411,8.36e-40,3.01e-11,22.11,1.0,YES
1000,20,CA-WOA,GWO,30,88.611,"[88.59, 88.63]",86.385,"[86.34, 86.43]",2.227,1.12e-44,3.01e-11,22.08,1.0,YES
1000,20,CA-WOA,HHO,30,88.611,"[88.59, 88.63]",86.48,"[86.43, 86.53]",2.132,1.61e-41,3.01e-11,19.56,1.0,YES
1000,20,CA-WOA,PSO,30,88.611,"[88.59, 88.63]",84.924,"[84.82, 85.03]",3.687,2.99e-36,3.01e-11,18.74,1.0,YES
1000,20,CA-WOA,WOA,30,88.611,"[88.59, 88.63]",86.109,"[86.00, 86.22]",2.502,2.15e-29,3.01e-11,11.46,1.0,YES
1500,10,CA-WOA,DE,30,87.112,"[87.05, 87.17]",85.789,"[85.72, 85.85]",1.322,3.6e-37,3.02e-11,7.81,1.0,YES
1500,10,CA-WOA,GA,30,87.112,"[87.05, 87.17]",85.731,"[85.68, 85.78]",1.38,9.73e-40,3.02e-11,9.02,1.0,YES
1500,10,CA-WOA,GWO,30,87.112,"[87.05, 87.17]",86.658,"[86.61, 86.71]",0.453,1.5e-16,6.06e-11,3.02,0.984,YES
1500,10,CA-WOA,HHO,30,87.112,"[87.05, 87.17]",86.802,"[86.76, 86.85]",0.31,5.93e-11,1.55e-09,2.1,0.909,YES
1500,10,CA-WOA,PSO,30,87.112,"[87.05, 87.17]",85.75,"[85.69, 85.81]",1.361,3.72e-38,3.02e-11,8.13,1.0,YES
1500,10,CA-WOA,WOA,30,87.112,"[87.05, 87.17]",86.317,"[86.26, 86.37]",0.795,6.48e-27,3.02e-11,5.02,1.0,YES
1500,20,CA-WOA,DE,30,87.367,"[87.18, 87.56]",85.789,"[85.72, 85.85]",1.578,4.44e-18,3.02e-11,4.2,1.0,YES
1500,20,CA-WOA,GA,30,87.367,"[87.18, 87.56]",85.731,"[85.68, 85.78]",1.636,3.95e-18,3.02e-11,4.44,1.0,YES
1500,20,CA-WOA,GWO,30,87.367,"[87.18, 87.56]",86.658,"[86.61, 86.71]",0.709,1.4e-08,1.09e-10,1.93,0.971,YES
1500,20,CA-WOA,HHO,30,87.367,"[87.18, 87.56]",86.827,"[86.76, 86.89]",0.541,2.8e-06,4.69e-08,1.43,0.822,YES
1500,20,CA-WOA,PSO,30,87.367,"[87.18, 87.56]",85.75,"[85.69, 85.81]",1.617,2.32e-18,3.02e-11,4.31,1.0,YES
1500,20,CA-WOA,WOA,30,87.367,"[87.18, 87.56]",86.375,"[86.32, 86.43]",0.992,4.36e-12,3.34e-11,2.66,0.998,YES
2000,10,CA-WOA,DE,30,87.507,"[87.44, 87.57]",86.291,"[86.25, 86.33]",1.216,1.49e-35,3.02e-11,8.36,1.0,YES
2000,10,CA-WOA,GA,30,87.507,"[87.44, 87.57]",86.386,"[86.35, 86.42]",1.121,3.6e-32,3.02e-11,8.17,1.0,YES
2000,10,CA-WOA,GWO,30,87.507,"[87.44, 87.57]",86.968,"[86.94, 87.00]",0.538,6.76e-19,3.02e-11,4.04,1.0,YES
2000,10,CA-WOA,HHO,30,87.507,"[87.44, 87.57]",87.183,"[87.15, 87.21]",0.323,8.61e-12,8.89e-10,2.41,0.922,YES
2000,10,CA-WOA,PSO,30,87.507,"[87.44, 87.57]",86.258,"[86.20, 86.32]",1.249,1.96e-36,3.02e-11,7.61,1.0,YES
2000,10,CA-WOA,WOA,30,87.507,"[87.44, 87.57]",86.83,"[86.79, 86.87]",0.677,1.36e-23,3.02e-11,4.73,1.0,YES
2000,20,CA-WOA,DE,30,87.714,"[87.60, 87.83]",86.291,"[86.25, 86.33]",1.424,1.41e-24,3.02e-11,6.3,1.0,YES
2000,20,CA-WOA,GA,30,87.714,"[87.60, 87.83]",86.386,"[86.35, 86.42]",1.329,1.08e-22,3.02e-11,6.02,1.0,YES
2000,20,CA-WOA,GWO,30,87.714,"[87.60, 87.83]",86.975,"[86.94, 87.01]",0.739,1.09e-14,3.02e-11,3.38,1.0,YES
2000,20,CA-WOA,HHO,30,87.714,"[87.60, 87.83]",87.258,"[87.18, 87.33]",0.456,6.44e-09,4.57e-09,1.8,0.882,YES
2000,20,CA-WOA,PSO,30,87.714,"[87.60, 87.83]",86.258,"[86.20, 86.32]",1.456,1.22e-26,3.02e-11,6.11,1.0,YES
2000,20,CA-WOA,WOA,30,87.714,"[87.60, 87.83]",86.86,"[86.82, 86.90]",0.855,3.87e-17,3.02e-11,3.77,1.0,YES
2500,10,CA-WOA,DE,30,87.584,"[87.52, 87.65]",86.526,"[86.48, 86.57]",1.058,1.28e-33,3.02e-11,7.11,1.0,YES
2500,10,CA-WOA,GA,30,87.584,"[87.52, 87.65]",86.594,"[86.56, 86.63]",0.99,2.79e-31,3.02e-11,7.13,1.0,YES
2500,10,CA-WOA,GWO,30,87.584,"[87.52, 87.65]",87.034,"[87.01, 87.06]",0.55,2.02e-19,3.02e-11,4.27,1.0,YES
2500,10,CA-WOA,HHO,30,87.584,"[87.52, 87.65]",87.306,"[87.27, 87.34]",0.278,3.15e-10,1.15e-08,2.1,0.859,YES
2500,10,CA-WOA,PSO,30,87.584,"[87.52, 87.65]",86.487,"[86.44, 86.54]",1.097,2.03e-34,3.02e-11,7.17,1.0,YES
2500,10,CA-WOA,WOA,30,87.584,"[87.52, 87.65]",86.99,"[86.96, 87.02]",0.594,3.07e-21,3.02e-11,4.43,1.0,YES
2500,20,CA-WOA,DE,30,87.726,"[87.65, 87.81]",86.526,"[86.48, 86.57]",1.201,2.36e-30,3.02e-11,6.88,1.0,YES
2500,20,CA-WOA,GA,30,87.726,"[87.65, 87.81]",86.594,"[86.56, 86.63]",1.132,7.43e-28,3.02e-11,6.82,1.0,YES
2500,20,CA-WOA,GWO,30,87.726,"[87.65, 87.81]",87.037,"[87.00, 87.07]",0.69,3.81e-19,3.02e-11,4.27,1.0,YES
2500,20,CA-WOA,HHO,30,87.726,"[87.65, 87.81]",87.392,"[87.35, 87.43]",0.334,1.22e-09,8.48e-09,1.98,0.867,YES
2500,20,CA-WOA,PSO,30,87.726,"[87.65, 87.81]",86.487,"[86.44, 86.54]",1.239,2.03e-31,3.02e-11,6.96,1.0,YES
2500,20,CA-WOA,WOA,30,87.726,"[87.65, 87.81]",86.944,"[86.91, 86.98]",0.783,3.33e-21,3.02e-11,4.81,1.0,YES
3000,10,CA-WOA,DE,30,87.704,"[87.63, 87.78]",86.701,"[86.67, 86.73]",1.004,1.16e-25,3.02e-11,6.59,1.0,YES
3000,10,CA-WOA,GA,30,87.704,"[87.63, 87.78]",86.807,"[86.76, 86.85]",0.898,1.4e-25,3.02e-11,5.53,1.0,YES
3000,10,CA-WOA,GWO,30,87.704,"[87.63, 87.78]",87.088,"[87.05, 87.13]",0.616,8.25e-19,3.02e-11,3.88,1.0,YES
3000,10,CA-WOA,HHO,30,87.704,"[87.63, 87.78]",87.385,"[87.36, 87.41]",0.319,7.89e-10,2.87e-10,2.15,0.949,YES
3000,10,CA-WOA,PSO,30,87.704,"[87.63, 87.78]",86.7,"[86.66, 86.74]",1.004,3.99e-27,3.02e-11,6.31,1.0,YES
3000,10,CA-WOA,WOA,30,87.704,"[87.63, 87.78]",87.157,"[87.12, 87.19]",0.547,6.64e-17,3.02e-11,3.48,1.0,YES
3000,20,CA-WOA,DE,30,87.851,"[87.78, 87.92]",86.692,"[86.66, 86.72]",1.159,7.78e-29,3.02e-11,7.58,1.0,YES
3000,20,CA-WOA,GA,30,87.851,"[87.78, 87.92]",86.807,"[86.76, 86.85]",1.044,1.14e-28,3.02e-11,6.49,1.0,YES
3000,20,CA-WOA,GWO,30,87.851,"[87.78, 87.92]",87.134,"[87.11, 87.16]",0.716,1.45e-20,3.02e-11,4.78,1.0,YES
3000,20,CA-WOA,HHO,30,87.851,"[87.78, 87.92]",87.552,"[87.50, 87.60]",0.299,9.51e-09,2.03e-07,1.77,0.782,YES
3000,20,CA-WOA,PSO,30,87.851,"[87.78, 87.92]",86.7,"[86.66, 86.74]",1.15,7.19e-30,3.02e-11,7.29,1.0,YES
3000,20,CA-WOA,WOA,30,87.851,"[87.78, 87.92]",87.075,"[87.04, 87.11]",0.776,4.8e-22,3.02e-11,5.12,1.0,YES
