N,M,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
500,10,CA-WOA,DE,30,87.746,"[87.71, 87.78]",81.578,"[81.45, 81.71]",6.168,8.27e-42,2.94e-11,24.0,1.0,YES
500,10,CA-WOA,GA,30,87.746,"[87.71, 87.78]",83.023,"[82.86, 83.18]",4.723,2.21e-34,2.94e-11,15.43,1.0,YES
500,10,CA-WOA,GWO,30,87.746,"[87.71, 87.78]",84.205,"[84.12, 84.28]",3.541,1.53e-46,2.94e-11,21.39,1.0,YES
500,10,CA-WOA,HHO,30,87.746,"[87.71, 87.78]",84.563,"[84.44, 84.69]",3.183,1.99e-33,2.94e-11,13.04,1.0,YES
500,10,CA-WOA,PSO,30,87.746,"[87.71, 87.78]",81.928,"[81.81, 82.04]",5.818,3.27e-44,2.94e-11,25.74,1.0,YES
500,10,CA-WOA,WOA,30,87.746,"[87.71, 87.78]",83.727,"[83.66, 83.80]",4.019,3.73e-53,2.94e-11,26.78,1.0,YES
500,20,CA-WOA,DE,30,87.746,"[87.71, 87.78]",81.578,"[81.45, 81.71]",6.168,8.27e-42,2.94e-11,24.0,1.0,YES
500,20,CA-WOA,GA,30,87.746,"[87.71, 87.78]",83.023,"[82.86, 83.18]",4.723,2.21e-34,2.94e-11,15.43,1.0,YES
500,20,CA-WOA,GWO,30,87.746,"[87.71, 87.78]",84.205,"[84.12, 84.28]",3.541,1.53e-46,2.94e-11,21.39,1.0,YES
500,20,CA-WOA,HHO,30,87.746,"[87.71, 87.78]",84.563,"[84.44, 84.69]",3.183,1.99e-33,2.94e-11,13.04,1.0,YES
500,20,CA-WOA,PSO,30,87.746,"[87.71, 87.78]",81.928,"[81.81, 82.04]",5.818,3.27e-44,2.94e-11,25.74,1.0,YES
500,20,CA-WOA,WOA,30,87.746,"[87.71, 87.78]",83.727,"[83.66, 83.80]",4.019,3.73e-53,2.94e-11,26.78,1.0,YES
1000,10,CA-WOA,DE,30,86.624,"[86.50, 86.74]",84.888,"[84.81, 84.96]",1.735,2.14e-29,3.02e-11,6.48,1.0,YES
1000,10,CA-WOA,GA,30,86.624,"[86.50, 86.74]",85.2,"[85.12, 85.28]",1.424,9e-26,3.02e-11,5.22,1.0,YES
1000,10,CA-WOA,GWO,30,86.624,"[86.50, 86.74]",86.385,"[86.34, 86.43]",0.239,0.000574,0.000301,0.97,0.544,YES
