wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,2,WOA,carbon,4,0.3333333333333333,E7,5.18,30.77,37,0.349043,87.7539,25.3346,0.0,0,4.658,0.7444,49.436,0.0,True,26.0,4840,1.302,0.95
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,2,WOA,carbon,5,0.3333333333333333,E7,5.18,30.77,37,0.346541,87.8416,25.8696,0.0,0,4.608,0.7369,50.175,0.0,True,26.0,4840,1.2979,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,2,WOA,carbon,6,0.3333333333333333,E7,5.18,30.77,37,0.346553,87.8412,25.8672,0.0,0,4.608,0.7369,50.159,0.0,True,26.0,4840,1.3989,0.95
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,2,WOA,carbon,7,0.3333333333333333,E7,5.18,30.77,37,0.346508,87.8428,25.8769,0.0,0,4.608,0.7369,50.221,0.0,True,26.0,4840,1.5184,0.96
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,2,WOA,carbon,8,0.3333333333333333,E7,5.18,30.77,37,0.349043,87.7539,25.3346,0.0,0,4.658,0.7444,49.436,0.0,True,26.0,4840,1.5667,0.93
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,2,WOA,carbon,9,0.3333333333333333,E7,5.18,30.77,37,0.346779,87.8333,25.8188,0.0,0,4.608,0.7369,50.466,0.0,True,26.0,4840,1.5856,0.94
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,2,WOA,carbon,10,0.3333333333333333,E7,5.18,30.77,37,0.346419,87.8459,25.8958,0.0,0,4.608,0.7369,50.472,0.0,True,26.0,4840,1.5874,0.98
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,3,Greedy(EDF+greenest),-,0,0.3333333333333333,E7,5.29,31.51,34,0.363514,87.3274,24.2536,0.0,0,4.8132,0.7677,46.564,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E7,5.26,31.19,35,0.353564,87.487,25.033,0.0,0,4.6891,0.7568,49.264,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,1,0.3333333333333333,E7,5.26,31.19,35,0.454619,83.9106,3.6059,0.0,0,5.0391,0.8334,46.814,0.0,True,24.5,4840,1.2927,1.06
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,2,0.3333333333333333,E7,5.26,31.19,35,0.452347,83.991,4.0878,0.0,0,5.0391,0.8323,47.372,0.0,True,24.5,4840,1.2997,1.0
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,3,0.3333333333333333,E7,5.26,31.19,35,0.456127,83.8572,3.2862,0.0,0,5.0891,0.8404,45.942,0.0,True,25.5,4840,1.4031,1.04
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,4,0.3333333333333333,E7,5.26,31.19,35,0.456739,83.8355,3.1564,0.0,0,5.0391,0.8329,47.363,0.0,True,24.5,4840,1.5181,1.02
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,WOA,random,5,0.3333333333333333,E7,5.26,31.19,35,0.45938,83.7421,2.5965,0.0,0,5.0891,0.831,45.325,0.0,True,24.5,4840,1.5743,1.0
