wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,FIFO,-,0,0.3333333333333333,E27,16.49,95.45,39,5.850587,0.0,-615.6355,0.0,0,95.9591,15.66,5.308,8.9738,False,24.5,0,0.0,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Consolidation,-,0,0.3333333333333333,E27,16.49,95.45,39,0.817537,86.0264,0.0,0.0,0,13.3091,2.1675,55.842,8.9738,False,24.5,0,0.0,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E27,16.49,95.45,39,0.588143,89.9473,28.0591,0.0,0,12.6091,1.9249,65.886,20.2071,False,28.5,0,0.0002,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,VCC(Google),-,0,0.3333333333333333,E27,16.49,95.45,39,0.794838,86.4144,2.7766,0.0,0,13.3091,2.1675,58.749,0.0,True,24.5,0,0.0041,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Threshold(WaitAwhile),-,0,0.3333333333333333,E27,16.49,95.45,39,0.713384,87.8066,12.7399,0.0,0,13.1091,2.1225,57.162,9.0262,False,24.5,0,0.0171,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,1,0.3333333333333333,E27,16.49,95.45,39,0.673966,88.4804,17.5614,0.0,0,13.0591,2.149,72.069,0.0,True,28.0,4840,2.7782,2.51
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,2,0.3333333333333333,E27,16.49,95.45,39,0.673961,88.4804,17.562,0.0,0,13.1091,2.1593,73.421,0.0,True,28.0,4840,2.8301,2.66
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,3,0.3333333333333333,E27,16.49,95.45,39,0.67822,88.4077,17.0411,0.0,0,13.2091,2.1852,70.564,0.0,True,28.5,4840,3.3073,2.78
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,carbon,9,0.3333333333333333,E27,16.49,95.45,39,0.58384,90.0208,28.5856,0.0,0,12.5091,1.9099,72.001,0.0,True,28.5,4840,2.7884,2.62
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,carbon,10,0.3333333333333333,E27,16.49,95.45,39,0.583631,90.0244,28.6111,0.0,0,12.5091,1.9099,68.765,0.0,True,28.5,4840,2.8347,2.41
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,1,FIFO,-,0,0.3333333333333333,E27,16.49,95.45,39,14.571419,0.0,-627.1823,0.0,0,95.9591,15.66,5.308,8.9738,False,24.5,0,0.0,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,1,Consolidation,-,0,0.3333333333333333,E27,16.49,95.45,39,2.003819,86.2483,0.0,0.0,0,13.3091,2.1675,55.842,8.9738,False,24.5,0,0.0,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,1,Greedy(EDF+greenest),-,0,0.3333333333333333,E27,16.49,95.45,39,1.650826,88.6708,17.616,0.0,0,12.8091,1.9214,65.19,18.4548,False,26.0,0,0.0002,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,1,VCC(Google),-,0,0.3333333333333333,E27,16.49,95.45,39,2.000865,86.2686,0.1474,0.0,0,13.3091,2.1675,60.296,0.0,True,24.5,0,0.0048,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,1,Threshold(WaitAwhile),-,0,0.3333333333333333,E27,16.49,95.45,39,1.799677,87.6493,10.1876,0.0,0,12.9091,1.9364,53.88,21.5321,False,24.5,0,0.0197,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,1,WOA,random,1,0.3333333333333333,E27,16.49,95.45,39,1.841899,87.3595,8.0806,0.0,0,13.1591,2.1743,70.299,0.0,True,28.0,4840,3.3381,2.57
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,carbon,10,0.3333333333333333,E27,16.49,95.45,39,0.677089,88.427,17.1794,0.0,0,13.2591,2.1807,70.041,0.0,True,28.5,4840,2.7952,2.38
