N,M,algo,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
1000,10,DE,DE+carbon,DE+random,30,88.567,"[88.53, 88.61]",86.921,"[86.90, 86.95]",1.646,2.71e-52,3.02e-11,18.85,1.0,YES
1000,10,GA,GA+carbon,GA+random,30,87.885,"[87.85, 87.92]",86.956,"[86.93, 86.98]",0.929,1.12e-40,3.02e-11,10.5,1.0,YES
1000,10,GWO,GWO+carbon,GWO+random,30,88.173,"[88.12, 88.23]",86.671,"[86.63, 86.71]",1.502,1.51e-42,3.02e-11,11.23,1.0,YES
1000,10,HHO,HHO+carbon,HHO+random,30,88.206,"[88.17, 88.24]",86.64,"[86.60, 86.68]",1.566,5.51e-50,3.02e-11,15.04,1.0,YES
1000,10,PSO,PSO+carbon,PSO+random,30,87.884,"[87.85, 87.92]",86.677,"[86.64, 86.72]",1.207,3.94e-47,3.02e-11,11.78,1.0,YES
1000,10,WOA,WOA+carbon,WOA+random,60,88.141,"[88.12, 88.16]",86.578,"[86.55, 86.61]",1.564,1.41e-98,3.52e-21,14.54,1.0,YES
1000,20,DE,DE+carbon,DE+random,30,88.686,"[88.66, 88.71]",86.921,"[86.90, 86.95]",1.765,8.11e-67,3.02e-11,26.02,1.0,YES
1000,20,GA,GA+carbon,GA+random,30,88.514,"[88.51, 88.51]",86.956,"[86.93, 86.98]",1.558,9.55e-41,1.21e-12,31.19,1.0,YES
1000,20,GWO,GWO+carbon,GWO+random,30,88.67,"[88.65, 88.69]",86.671,"[86.63, 86.71]",1.999,1.51e-49,3.02e-11,23.46,1.0,YES
1000,20,HHO,HHO+carbon,HHO+random,30,88.666,"[88.65, 88.68]",86.64,"[86.60, 86.68]",2.026,1.37e-45,3.02e-11,22.41,1.0,YES
1000,20,PSO,PSO+carbon,PSO+random,30,88.514,"[88.51, 88.51]",86.677,"[86.64, 86.72]",1.837,2.84e-38,1.21e-12,25.62,1.0,YES
1000,20,WOA,WOA+carbon,WOA+random,60,88.686,"[88.67, 88.70]",86.578,"[86.55, 86.61]",2.108,2.46e-93,3.52e-21,22.45,1.0,YES
3000,10,DE,DE+carbon,DE+random,30,87.779,"[87.76, 87.80]",87.62,"[87.60, 87.64]",0.159,1.56e-15,3.16e-10,2.82,0.947,YES
3000,10,GA,GA+carbon,GA+random,30,87.695,"[87.68, 87.71]",87.694,"[87.68, 87.71]",0.001,0.911,0.929,0.03,0.014,no
3000,10,GWO,GWO+carbon,GWO+random,30,87.492,"[87.47, 87.51]",87.455,"[87.44, 87.47]",0.036,0.00894,0.011,0.7,0.383,YES
3000,10,HHO,HHO+carbon,HHO+random,30,87.546,"[87.52, 87.57]",87.501,"[87.49, 87.51]",0.045,0.000813,0.00186,0.92,0.469,YES
3000,10,PSO,PSO+carbon,PSO+random,30,87.593,"[87.56, 87.62]",87.462,"[87.45, 87.47]",0.131,8.27e-10,3.96e-08,2.09,0.827,YES
3000,10,WOA,WOA+carbon,WOA+random,60,87.543,"[87.52, 87.57]",87.478,"[87.47, 87.49]",0.065,4.49e-05,0.000113,0.79,0.409,YES
3000,20,DE,DE+carbon,DE+random,30,87.886,"[87.85, 87.92]",87.624,"[87.60, 87.65]",0.262,1.5e-17,3.69e-11,3.36,0.996,YES
3000,20,GA,GA+carbon,GA+random,30,87.696,"[87.69, 87.71]",87.698,"[87.69, 87.71]",-0.002,0.774,0.959,-0.07,0.009,no
3000,20,GWO,GWO+carbon,GWO+random,30,87.489,"[87.47, 87.51]",87.464,"[87.45, 87.48]",0.026,0.0783,0.101,0.46,0.248,no
3000,20,HHO,HHO+carbon,HHO+random,30,88.402,"[88.27, 88.53]",87.705,"[87.69, 87.72]",0.697,9.65e-12,5.46e-09,2.76,0.878,YES
3000,20,PSO,PSO+carbon,PSO+random,30,87.619,"[87.60, 87.64]",87.462,"[87.45, 87.47]",0.158,1.2e-21,3.02e-11,4.1,1.0,YES
3000,20,WOA,WOA+carbon,WOA+random,60,88.081,"[88.00, 88.16]",87.639,"[87.63, 87.65]",0.442,8.2e-16,1e-19,1.98,0.962,YES
