N,M,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
500,10,CA-WOA,DE,30,74.087,"[74.01, 74.16]",62.199,"[61.94, 62.46]",11.889,7.82e-42,2.92e-11,23.47,1.0,YES
500,10,CA-WOA,GA,30,74.087,"[74.01, 74.16]",65.547,"[65.30, 65.80]",8.54,1e-37,2.92e-11,17.37,1.0,YES
500,10,CA-WOA,GWO,30,74.087,"[74.01, 74.16]",67.136,"[66.94, 67.33]",6.952,1.96e-40,2.92e-11,17.58,1.0,YES
500,10,CA-WOA,HHO,30,74.087,"[74.01, 74.16]",67.478,"[67.22, 67.73]",6.609,1.94e-33,2.92e-11,13.12,1.0,YES
500,10,CA-WOA,PSO,30,74.087,"[74.01, 74.16]",62.961,"[62.75, 63.17]",11.126,7.95e-46,2.92e-11,26.36,1.0,YES
500,10,CA-WOA,WOA,30,74.087,"[74.01, 74.16]",65.654,"[65.53, 65.78]",8.433,1.93e-58,2.92e-11,30.09,1.0,YES
500,20,CA-WOA,DE,30,81.742,"[81.69, 81.79]",72.926,"[72.70, 73.15]",8.815,7.17e-38,2.94e-11,20.1,1.0,YES
500,20,CA-WOA,GA,30,81.742,"[81.69, 81.79]",75.165,"[74.99, 75.34]",6.576,2.28e-39,2.94e-11,19.52,1.0,YES
500,20,CA-WOA,GWO,30,81.742,"[81.69, 81.79]",76.643,"[76.52, 76.77]",5.099,1.19e-43,2.94e-11,20.15,1.0,YES
500,20,CA-WOA,HHO,30,81.742,"[81.69, 81.79]",77.151,"[76.96, 77.34]",4.59,4.85e-32,2.94e-11,12.35,1.0,YES
500,20,CA-WOA,PSO,30,81.742,"[81.69, 81.79]",73.596,"[73.38, 73.81]",8.145,1.36e-37,2.94e-11,19.37,1.0,YES
500,20,CA-WOA,WOA,30,81.742,"[81.69, 81.79]",75.783,"[75.69, 75.87]",5.958,3.59e-58,2.94e-11,30.68,1.0,YES
1000,10,CA-WOA,DE,30,61.037,"[60.83, 61.25]",51.502,"[51.23, 51.78]",9.535,4.67e-50,3.02e-11,14.55,1.0,YES
1000,10,CA-WOA,GA,30,61.037,"[60.83, 61.25]",53.653,"[53.46, 53.85]",7.385,3.14e-50,3.02e-11,13.45,1.0,YES
1000,10,CA-WOA,GWO,30,61.037,"[60.83, 61.25]",55.057,"[54.84, 55.28]",5.98,4.83e-44,3.02e-11,10.39,1.0,YES
1000,10,CA-WOA,HHO,30,61.037,"[60.83, 61.25]",54.594,"[54.34, 54.84]",6.444,3.03e-43,3.02e-11,10.38,1.0,YES
1000,10,CA-WOA,PSO,30,61.037,"[60.83, 61.25]",51.139,"[50.88, 51.40]",9.899,7.86e-53,3.02e-11,15.7,1.0,YES
1000,10,CA-WOA,WOA,30,61.037,"[60.83, 61.25]",53.057,"[52.75, 53.36]",7.98,9.32e-43,3.02e-11,11.38,1.0,YES
1000,20,CA-WOA,DE,30,75.615,"[75.57, 75.66]",68.573,"[68.35, 68.79]",7.042,9.94e-35,3.02e-11,16.49,1.0,YES
1000,20,CA-WOA,GA,30,75.615,"[75.57, 75.66]",69.817,"[69.68, 69.95]",5.798,6.32e-42,3.02e-11,21.51,1.0,YES
1000,20,CA-WOA,GWO,30,75.615,"[75.57, 75.66]",71.121,"[70.97, 71.27]",4.495,1.08e-35,3.02e-11,15.13,1.0,YES
1000,20,CA-WOA,HHO,30,75.615,"[75.57, 75.66]",71.062,"[70.91, 71.21]",4.553,9.83e-36,3.02e-11,15.23,1.0,YES
1000,20,CA-WOA,PSO,30,75.615,"[75.57, 75.66]",68.537,"[68.33, 68.75]",7.078,1.21e-35,3.02e-11,17.38,1.0,YES
1000,20,CA-WOA,WOA,30,75.615,"[75.57, 75.66]",70.258,"[70.07, 70.45]",5.358,1.32e-33,3.02e-11,14.47,1.0,YES
1500,10,CA-WOA,DE,30,52.561,"[52.08, 53.04]",41.319,"[41.12, 41.51]",11.242,9.5e-35,3.02e-11,11.53,1.0,YES
1500,10,CA-WOA,GA,30,52.561,"[52.08, 53.04]",42.813,"[42.56, 43.07]",9.748,6.79e-35,3.02e-11,9.53,1.0,YES
1500,10,CA-WOA,GWO,30,52.561,"[52.08, 53.04]",44.09,"[43.81, 44.37]",8.471,3.85e-33,3.02e-11,8.09,1.0,YES
1500,10,CA-WOA,HHO,30,52.561,"[52.08, 53.04]",43.797,"[43.47, 44.13]",8.763,5.91e-35,3.02e-11,8.0,1.0,YES
1500,10,CA-WOA,PSO,30,52.561,"[52.08, 53.04]",40.564,"[40.30, 40.82]",11.997,5.05e-39,3.02e-11,11.68,1.0,YES
1500,10,CA-WOA,WOA,30,52.561,"[52.08, 53.04]",42.701,"[42.51, 42.89]",9.859,2.85e-32,3.02e-11,10.17,1.0,YES
1500,20,CA-WOA,DE,30,69.189,"[69.14, 69.24]",61.266,"[61.13, 61.40]",7.923,1.23e-48,3.02e-11,29.54,1.0,YES
1500,20,CA-WOA,GA,30,69.189,"[69.14, 69.24]",62.086,"[61.96, 62.21]",7.104,1.07e-47,3.02e-11,27.11,1.0,YES
1500,20,CA-WOA,GWO,30,69.189,"[69.14, 69.24]",63.451,"[63.34, 63.56]",5.738,9.47e-49,3.02e-11,24.76,1.0,YES
1500,20,CA-WOA,HHO,30,69.189,"[69.14, 69.24]",63.326,"[63.15, 63.51]",5.863,1.16e-36,3.02e-11,16.69,1.0,YES
1500,20,CA-WOA,PSO,30,69.189,"[69.14, 69.24]",60.895,"[60.77, 61.02]",8.294,3.05e-50,3.02e-11,31.69,1.0,YES
1500,20,CA-WOA,WOA,30,69.189,"[69.14, 69.24]",62.104,"[61.93, 62.27]",7.085,1.92e-40,3.02e-11,21.09,1.0,YES
2000,10,CA-WOA,DE,30,47.186,"[46.35, 48.02]",31.363,"[31.15, 31.57]",15.823,2.03e-28,3.02e-11,9.68,1.0,YES
2000,10,CA-WOA,GA,30,47.186,"[46.35, 48.02]",32.927,"[32.74, 33.11]",14.259,1.32e-26,3.02e-11,8.78,1.0,YES
2000,10,CA-WOA,GWO,30,47.186,"[46.35, 48.02]",33.482,"[33.19, 33.77]",13.704,7.92e-28,3.02e-11,8.16,1.0,YES
2000,10,CA-WOA,HHO,30,47.186,"[46.35, 48.02]",35.655,"[35.07, 36.24]",11.532,5.92e-29,3.02e-11,5.97,1.0,YES
2000,10,CA-WOA,PSO,30,47.186,"[46.35, 48.02]",30.662,"[30.42, 30.91]",16.524,1.08e-29,3.02e-11,10.0,1.0,YES
2000,10,CA-WOA,WOA,30,47.186,"[46.35, 48.02]",34.136,"[33.58, 34.69]",13.05,2.65e-31,3.02e-11,6.86,1.0,YES
2000,20,CA-WOA,DE,30,63.216,"[63.09, 63.35]",54.937,"[54.82, 55.05]",8.28,6.35e-65,3.02e-11,25.23,1.0,YES
