N,M,ca_woa,ca_sd,greedy,diff_pp,p,winner
500,10,74.087,0.196,73.579,0.509,1.29e-14,CA-WOA
500,20,81.742,0.133,81.379,0.363,3.91e-15,CA-WOA
1000,10,61.037,0.568,63.319,-2.282,1.2e-19,greedy
1000,20,75.615,0.118,75.419,0.197,5.03e-10,CA-WOA
1500,10,52.561,1.276,62.983,-10.423,2.59e-28,greedy
1500,20,69.189,0.132,69.368,-0.179,3.53e-08,greedy
2000,10,47.186,2.242,61.596,-14.41,2.38e-25,greedy
2000,20,63.216,0.352,65.771,-2.555,7.47e-27,greedy
2500,10,44.505,3.005,60.371,-15.867,6.14e-23,greedy
2500,20,57.863,0.498,64.749,-6.886,7.04e-35,greedy
3000,10,47.317,3.605,58.677,-11.36,8.53e-17,greedy
3000,20,54.105,0.879,64.505,-10.4,6.31e-33,greedy
