N,M,power,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
500,20,piecewise,CA-WOA,HHO,30,87.909,"[87.87, 87.95]",84.635,"[84.52, 84.75]",3.274,1.4e-36,2.99e-11,14.56,1.0,YES
500,20,piecewise,CA-WOA,PSO,30,87.909,"[87.87, 87.95]",81.725,"[81.59, 81.86]",6.184,3.62e-42,2.99e-11,23.61,1.0,YES
500,20,piecewise,CA-WOA,WOA,30,87.909,"[87.87, 87.95]",83.819,"[83.74, 83.90]",4.09,2.32e-50,2.99e-11,24.29,1.0,YES
1500,10,cubic,CA-WOA,DE,30,88.171,"[88.09, 88.26]",87.634,"[87.59, 87.68]",0.537,1.52e-14,5.07e-10,2.86,0.936,YES
1500,10,cubic,CA-WOA,GA,30,88.171,"[88.09, 88.26]",87.672,"[87.62, 87.73]",0.499,2.24e-13,2.67e-09,2.56,0.896,YES
1500,10,cubic,CA-WOA,GWO,30,88.171,"[88.09, 88.26]",87.977,"[87.94, 88.02]",0.194,0.00017,4.64e-05,1.07,0.613,YES
1500,10,cubic,CA-WOA,HHO,30,88.171,"[88.09, 88.26]",88.029,"[87.99, 88.07]",0.142,0.00429,0.00077,0.78,0.507,YES
1500,10,cubic,CA-WOA,PSO,30,88.171,"[88.09, 88.26]",87.678,"[87.63, 87.72]",0.494,2.37e-13,1.86e-09,2.65,0.904,YES
1500,10,cubic,CA-WOA,WOA,30,88.171,"[88.09, 88.26]",87.567,"[87.50, 87.63]",0.605,4.06e-16,2.15e-10,2.98,0.956,YES
1500,10,linear,CA-WOA,DE,30,87.044,"[86.93, 87.16]",85.789,"[85.72, 85.85]",1.255,5.12e-24,3.02e-11,5.08,1.0,YES
1500,10,linear,CA-WOA,GA,30,87.044,"[86.93, 87.16]",85.731,"[85.68, 85.78]",1.313,8.28e-24,3.02e-11,5.57,1.0,YES
1500,10,linear,CA-WOA,GWO,30,87.044,"[86.93, 87.16]",86.658,"[86.61, 86.71]",0.385,1.44e-07,5.09e-06,1.65,0.687,YES
1500,10,linear,CA-WOA,HHO,30,87.044,"[86.93, 87.16]",86.753,"[86.70, 86.80]",0.291,2.11e-05,4.64e-05,1.25,0.613,YES
1500,10,linear,CA-WOA,PSO,30,87.044,"[86.93, 87.16]",85.75,"[85.69, 85.81]",1.293,1.81e-24,3.02e-11,5.27,1.0,YES
1500,10,linear,CA-WOA,WOA,30,87.044,"[86.93, 87.16]",86.351,"[86.31, 86.39]",0.693,6.52e-14,4.08e-11,3.05,0.993,YES
1500,10,piecewise,CA-WOA,DE,30,87.274,"[87.17, 87.38]",85.889,"[85.83, 85.95]",1.385,1.59e-26,3.02e-11,5.94,1.0,YES
1500,10,piecewise,CA-WOA,GA,30,87.274,"[87.17, 87.38]",85.86,"[85.81, 85.91]",1.414,3.2e-26,3.02e-11,6.22,1.0,YES
1500,10,piecewise,CA-WOA,GWO,30,87.274,"[87.17, 87.38]",86.929,"[86.88, 86.97]",0.345,4.76e-07,3.32e-06,1.56,0.7,YES
1500,10,piecewise,CA-WOA,HHO,30,87.274,"[87.17, 87.38]",86.973,"[86.92, 87.02]",0.301,5.9e-06,1.87e-05,1.35,0.644,YES
1500,10,piecewise,CA-WOA,PSO,30,87.274,"[87.17, 87.38]",85.877,"[85.81, 85.95]",1.397,1.86e-27,3.02e-11,5.73,1.0,YES
1500,10,piecewise,CA-WOA,WOA,30,87.274,"[87.17, 87.38]",86.621,"[86.57, 86.67]",0.653,5.05e-14,5.49e-11,2.92,0.987,YES
1500,20,cubic,CA-WOA,DE,30,89.274,"[89.25, 89.30]",87.634,"[87.59, 87.68]",1.639,1.04e-45,3.02e-11,15.36,1.0,YES
